pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	360	178	101	67	66	22	18	8	10	8	7	7	105
education---leisure	11	1	2	3	2	1	0	1	0	0	0	1	10
education---other	38	0	3	3	3	0	0	1	1	0	0	0	7
education---pt interaction	97	58	43	5	7	0	0	0	0	0	0	0	8
education---shop	14	8	1	1	1	1	1	1	0	2	0	0	0
education---work	5	1	0	1	0	2	0	2	0	0	0	1	0
home---education	408	197	91	57	70	30	22	17	9	7	7	4	92
home---home	8	2	0	0	0	0	0	0	0	0	0	0	0
home---leisure	447	172	37	30	55	36	31	16	10	14	10	3	86
home---other	633	298	66	59	41	42	31	28	17	20	9	3	48
home---pt interaction	363	249	125	36	3	3	5	0	2	0	1	3	23
home---shop	526	258	79	57	39	39	26	23	19	5	9	4	39
home---work	1151	593	56	73	102	75	45	33	30	27	12	11	88
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	583	104	43	40	102	66	31	27	9	8	7	7	44
leisure---leisure	87	28	5	4	1	5	0	3	5	0	1	0	1
leisure---other	83	20	3	10	1	7	0	0	0	0	0	0	0
leisure---pt interaction	34	29	20	6	1	1	2	0	1	0	0	0	5
leisure---shop	73	25	5	13	5	1	4	0	0	1	1	1	3
leisure---work	68	19	7	5	12	7	1	0	3	3	1	0	5
other---education	15	2	0	1	0	1	0	1	0	0	0	0	1
other---home	643	199	117	58	63	43	27	22	13	8	10	19	40
other---leisure	90	15	5	7	2	3	2	1	1	1	0	0	2
other---other	155	58	10	12	14	8	3	6	3	2	0	0	9
other---pt interaction	32	23	22	9	0	0	0	1	1	2	0	0	9
other---shop	131	30	10	11	4	3	1	3	0	0	0	2	1
other---work	232	53	2	13	14	9	10	12	6	7	2	0	7
pt interaction---education	99	91	20	18	2	0	0	0	0	0	0	0	20
pt interaction---home	319	211	112	36	0	3	3	1	0	0	1	2	23
pt interaction---leisure	50	34	16	14	1	2	1	2	0	0	0	0	3
pt interaction---other	49	28	19	5	0	2	1	0	1	3	0	1	7
pt interaction---pt interaction	826	363	394	382	291	263	202	157	124	96	67	41	93
pt interaction---shop	57	26	19	10	2	1	0	0	1	0	1	0	3
pt interaction---work	199	108	58	24	1	3	0	1	0	0	1	1	2
shop---education	2	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	793	218	104	72	72	45	21	15	15	8	9	6	37
shop---leisure	79	19	9	3	2	3	0	2	0	1	1	0	2
shop---other	65	21	8	6	2	4	0	2	1	1	1	0	5
shop---pt interaction	50	28	13	8	0	1	0	0	0	0	0	1	4
shop---shop	343	52	16	23	15	9	2	4	0	0	0	2	7
shop---work	57	11	3	1	4	4	0	1	2	1	0	1	2
work---education	4	4	1	0	1	1	1	0	0	0	0	0	0
work---home	701	581	260	87	73	60	35	23	18	18	21	16	151
work---leisure	93	53	22	9	8	1	7	6	2	3	1	0	8
work---other	121	96	59	17	17	11	7	6	7	3	2	3	20
work---pt interaction	191	104	71	30	0	3	0	0	0	0	0	0	3
work---shop	100	66	33	12	8	5	5	7	0	0	0	2	10
work---work	128	43	5	7	9	6	1	1	0	0	2	1	3

average trip duration: 923.5496434448711 seconds = 00:15:23
