pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	417	193	107	73	68	32	18	12	13	3	1	3	65
education---leisure	15	2	2	4	3	1	0	1	0	0	0	0	8
education---other	40	0	3	3	4	3	0	1	1	0	0	1	2
education---pt interaction	77	49	25	3	4	0	0	0	0	0	0	0	8
education---shop	20	4	1	1	0	2	0	0	0	2	0	0	0
education---work	5	2	0	2	0	2	0	1	0	0	0	0	0
home---education	497	203	86	60	78	37	17	9	9	8	2	3	58
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	497	111	18	31	59	62	29	9	12	3	5	1	41
home---other	613	226	47	61	53	66	36	11	5	3	2	2	44
home---pt interaction	560	430	210	80	0	0	3	2	1	4	0	1	10
home---shop	548	211	41	52	55	51	23	13	8	8	4	4	22
home---work	1108	457	28	82	128	103	28	23	17	9	5	4	43
leisure---education	5	0	0	2	1	0	0	0	0	0	0	0	0
leisure---home	576	84	29	37	114	54	5	18	10	3	2	0	52
leisure---leisure	93	21	1	8	5	5	1	0	0	0	0	0	3
leisure---other	83	10	4	8	3	3	0	0	0	0	1	2	2
leisure---pt interaction	63	51	37	18	3	6	3	3	1	1	0	0	20
leisure---shop	76	17	5	13	5	4	1	0	0	0	1	1	7
leisure---work	72	18	5	6	11	8	1	0	0	1	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	593	147	91	67	82	50	21	21	8	3	1	3	50
other---leisure	85	11	1	5	3	4	1	1	0	0	0	1	6
other---other	153	42	9	12	15	16	5	1	0	3	1	0	5
other---pt interaction	103	61	60	22	3	3	4	2	2	3	2	1	16
other---shop	120	18	8	11	7	8	2	0	0	0	2	1	5
other---work	215	48	2	14	29	14	8	2	1	0	0	0	13
pt interaction---education	75	60	13	20	1	0	0	0	0	0	0	0	25
pt interaction---home	553	354	208	66	0	0	3	2	1	4	0	1	9
pt interaction---leisure	78	51	40	18	3	7	4	3	2	1	0	1	18
pt interaction---other	120	60	64	22	2	4	3	2	2	5	0	3	21
pt interaction---pt interaction	1647	652	804	710	585	453	380	302	222	155	114	72	158
pt interaction---shop	124	48	48	27	2	5	0	3	4	3	1	1	12
pt interaction---work	322	203	105	56	3	3	1	1	0	1	2	0	12
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	792	172	71	63	89	45	16	16	5	7	5	4	29
shop---leisure	78	17	3	6	0	3	1	0	1	0	0	2	4
shop---other	57	9	7	11	3	7	0	3	1	1	1	1	5
shop---pt interaction	99	60	45	26	1	5	0	3	3	4	1	1	14
shop---shop	314	39	10	26	16	10	5	4	2	1	1	0	11
shop---work	56	9	1	1	4	4	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	692	484	223	77	91	98	42	23	28	14	7	8	37
work---leisure	102	35	17	10	8	7	9	4	1	2	0	1	5
work---other	110	91	46	18	18	21	10	4	9	0	1	1	8
work---pt interaction	307	187	121	74	1	3	0	1	0	1	1	0	8
work---shop	99	52	30	6	10	11	6	3	1	0	1	0	10
work---work	125	31	6	5	9	3	1	1	1	0	0	1	6

average trip duration: 869.36074222956 seconds = 00:14:29
