pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	273	240	132	80	65	30	19	9	16	3	1	3	81
education---leisure	7	0	3	3	4	2	0	1	0	0	0	0	9
education---other	20	3	4	5	3	2	1	2	0	0	1	1	5
education---pt interaction	112	73	37	7	4	0	0	0	0	0	0	0	6
education---shop	11	7	2	1	0	3	0	1	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	325	270	126	64	84	33	22	11	11	5	2	3	66
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	402	159	24	29	39	56	39	22	15	9	5	3	39
home---other	563	274	48	61	40	80	39	14	8	6	2	2	41
home---pt interaction	603	398	218	86	1	1	4	2	2	1	0	3	20
home---shop	495	255	52	54	40	51	32	16	7	9	1	4	24
home---work	1069	550	36	78	98	91	36	18	16	8	5	5	57
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	504	106	35	38	92	62	14	22	9	4	5	2	65
leisure---leisure	78	25	4	4	1	8	2	1	1	0	1	0	5
leisure---other	73	16	2	9	1	7	0	0	0	0	1	2	3
leisure---pt interaction	81	60	39	20	4	4	5	3	1	2	2	1	22
leisure---shop	65	20	7	14	5	4	1	0	0	0	1	1	7
leisure---work	66	22	4	6	10	10	2	0	1	2	0	0	4
other---education	11	1	0	1	3	0	1	2	0	0	0	0	1
other---home	549	202	84	59	84	46	19	22	10	5	2	5	52
other---leisure	74	19	2	6	2	9	3	1	0	0	0	1	7
other---other	135	55	7	11	16	17	3	4	1	1	2	0	6
other---pt interaction	103	62	58	24	1	2	2	2	3	2	1	1	15
other---shop	113	27	6	14	6	7	2	0	0	0	2	1	5
other---work	208	60	1	14	31	13	10	2	2	0	0	0	9
pt interaction---education	96	81	22	18	1	0	0	0	0	0	0	0	22
pt interaction---home	580	366	221	68	0	2	3	3	1	1	0	1	18
pt interaction---leisure	106	66	35	20	2	5	4	4	2	2	2	1	21
pt interaction---other	121	67	56	18	3	6	1	2	3	4	0	1	18
pt interaction---pt interaction	1584	722	762	702	562	434	350	274	205	149	110	70	143
pt interaction---shop	124	49	48	28	2	4	1	1	4	1	1	1	15
pt interaction---work	313	190	104	47	2	4	0	0	0	0	2	1	8
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	746	201	81	58	80	54	23	10	8	8	3	5	28
shop---leisure	70	18	6	4	2	4	0	0	0	1	0	1	4
shop---other	53	16	8	11	4	5	0	2	0	1	1	0	6
shop---pt interaction	106	63	45	23	1	4	1	2	2	2	1	1	16
shop---shop	311	47	14	19	15	12	5	4	1	1	1	1	12
shop---work	55	8	3	1	3	5	0	1	1	1	0	1	5
work---education	4	3	2	0	1	2	0	0	0	0	0	0	0
work---home	648	521	257	82	73	77	42	29	21	15	9	9	60
work---leisure	92	47	17	9	9	7	7	1	4	2	0	1	8
work---other	124	86	54	17	17	19	7	9	9	1	0	2	6
work---pt interaction	299	171	125	62	0	4	0	0	0	0	2	0	6
work---shop	96	56	28	7	8	11	11	1	0	0	0	0	10
work---work	123	31	5	6	10	3	1	1	2	0	0	1	6

average trip duration: 919.4384518451845 seconds = 00:15:19
