pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	266	242	135	80	65	30	22	11	14	3	2	3	75
education---leisure	7	1	4	2	4	2	0	1	0	0	0	0	8
education---other	20	3	4	5	2	2	1	2	0	0	1	1	5
education---pt interaction	117	72	38	8	4	0	0	0	0	0	0	0	6
education---shop	10	7	2	1	0	2	0	1	0	2	0	1	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	318	274	126	64	87	35	21	12	11	5	3	3	60
home---home	8	2	0	0	0	0	0	0	0	0	0	0	0
home---leisure	398	158	23	28	38	56	34	22	17	7	5	3	41
home---other	559	270	46	61	41	77	39	15	7	6	2	3	42
home---pt interaction	619	416	226	87	1	1	4	2	2	2	0	3	19
home---shop	492	253	50	54	39	53	31	14	8	9	2	4	25
home---work	1065	539	39	79	100	90	34	20	15	8	5	5	57
leisure---education	4	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	499	107	32	37	89	60	14	20	9	6	4	2	68
leisure---leisure	78	24	4	5	1	8	2	1	1	0	1	0	5
leisure---other	72	16	3	9	1	7	0	0	0	0	1	2	3
leisure---pt interaction	86	61	41	22	6	4	4	3	1	3	2	1	24
leisure---shop	67	19	5	14	5	4	1	0	0	0	1	1	7
leisure---work	66	23	4	6	10	11	1	0	1	2	0	0	4
other---education	10	1	0	1	3	0	1	2	0	0	1	0	1
other---home	543	197	81	60	88	42	20	22	8	5	2	5	54
other---leisure	73	17	2	6	2	8	4	1	0	0	0	1	8
other---other	133	54	8	10	16	16	4	3	1	1	2	0	7
other---pt interaction	115	65	60	25	2	2	3	2	3	2	1	1	15
other---shop	114	26	6	13	6	8	1	0	0	0	2	1	5
other---work	209	58	1	14	32	12	9	2	2	0	0	0	9
pt interaction---education	97	84	21	19	1	0	0	0	0	0	0	0	22
pt interaction---home	603	378	231	70	0	2	3	3	1	2	0	1	18
pt interaction---leisure	110	66	40	20	4	6	6	4	2	2	2	1	23
pt interaction---other	128	71	62	21	3	6	2	2	3	4	0	2	18
pt interaction---pt interaction	1673	758	807	730	585	451	366	280	211	152	116	74	145
pt interaction---shop	133	50	48	32	2	4	1	1	4	1	1	1	15
pt interaction---work	316	189	109	52	2	4	0	0	0	0	2	1	8
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	735	201	80	60	78	54	23	11	7	7	6	5	30
shop---leisure	69	19	6	4	2	4	0	0	0	1	0	1	4
shop---other	50	18	7	10	4	5	0	2	0	2	0	2	5
shop---pt interaction	114	67	44	27	1	4	1	2	2	2	1	1	16
shop---shop	311	44	12	20	15	12	5	4	1	1	1	1	13
shop---work	55	9	2	1	3	5	0	1	1	1	0	1	5
work---education	5	2	2	0	1	2	0	0	0	0	0	0	0
work---home	654	515	255	80	73	80	44	26	19	12	10	9	58
work---leisure	94	47	14	9	9	7	7	1	4	2	0	1	8
work---other	122	84	56	14	17	18	7	11	7	1	0	2	6
work---pt interaction	305	174	126	67	0	4	0	0	0	0	2	0	6
work---shop	97	56	27	7	7	14	10	0	0	0	0	0	10
work---work	127	27	5	6	10	3	1	1	2	0	0	1	6

average trip duration: 917.866775498616 seconds = 00:15:17
