pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	411	191	107	72	70	30	17	14	13	3	1	3	72
education---leisure	15	2	2	4	5	0	0	1	0	0	0	0	8
education---other	40	0	3	3	3	4	0	1	1	0	0	1	2
education---pt interaction	72	51	29	3	4	0	0	0	0	0	0	0	5
education---shop	19	6	1	1	0	2	0	0	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	493	200	87	63	79	39	21	13	9	7	2	3	63
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	489	129	15	35	55	60	29	18	13	8	3	1	38
home---other	615	240	50	62	54	65	44	15	5	2	3	3	41
home---pt interaction	508	372	201	72	0	0	3	1	1	2	0	1	13
home---shop	532	237	47	54	54	55	28	15	8	8	1	4	20
home---work	1094	487	47	81	127	99	33	24	16	9	5	6	51
leisure---education	5	0	0	2	1	0	0	0	0	0	0	0	0
leisure---home	579	95	28	38	110	55	9	20	10	3	3	0	50
leisure---leisure	94	22	1	7	2	7	1	1	0	0	0	0	3
leisure---other	80	14	4	8	2	5	0	0	0	0	1	2	2
leisure---pt interaction	63	46	30	14	2	5	3	2	1	1	0	0	19
leisure---shop	77	17	5	12	5	4	0	0	0	0	1	1	7
leisure---work	74	16	5	5	13	7	2	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	592	172	87	67	82	47	25	24	7	2	2	3	46
other---leisure	87	12	2	5	1	6	2	1	0	0	0	1	6
other---other	146	49	9	13	19	13	5	1	1	2	1	0	5
other---pt interaction	90	56	47	20	3	2	3	2	2	3	1	1	14
other---shop	120	22	9	10	7	8	2	0	0	0	2	1	4
other---work	217	49	2	15	32	15	8	2	1	0	0	0	12
pt interaction---education	66	62	14	15	1	0	0	0	0	0	0	0	23
pt interaction---home	507	321	197	55	0	0	3	1	1	2	0	1	11
pt interaction---leisure	72	46	32	16	1	6	4	2	2	1	0	1	17
pt interaction---other	99	54	54	17	2	3	2	2	2	5	0	3	18
pt interaction---pt interaction	1453	579	715	668	522	414	338	270	200	136	106	68	147
pt interaction---shop	107	43	44	26	2	4	0	1	4	2	1	1	11
pt interaction---work	300	191	97	49	3	4	1	1	0	0	2	0	9
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	786	192	72	64	87	50	18	16	5	8	4	4	25
shop---leisure	78	17	6	5	0	4	1	0	1	0	0	2	3
shop---other	58	12	7	10	4	4	2	2	0	1	0	1	5
shop---pt interaction	88	59	38	24	1	4	0	2	2	3	1	1	13
shop---shop	318	38	12	23	16	11	5	6	1	1	1	0	10
shop---work	55	10	1	1	3	5	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	676	526	224	76	91	97	43	29	23	13	10	9	51
work---leisure	102	36	17	10	9	6	8	3	1	3	0	1	6
work---other	113	92	46	19	19	21	11	3	10	2	1	2	7
work---pt interaction	286	175	113	65	1	4	0	1	0	0	1	0	6
work---shop	99	58	26	6	7	11	8	2	1	0	1	0	10
work---work	119	35	4	7	9	3	1	2	1	0	0	1	6

average trip duration: 877.5941060757897 seconds = 00:14:37
