pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	417	192	107	70	72	31	18	11	14	3	1	3	66
education---leisure	15	2	2	3	4	1	0	1	0	0	0	0	8
education---other	40	0	3	3	3	4	0	1	1	0	0	1	2
education---pt interaction	74	49	27	3	4	0	0	0	0	0	0	0	8
education---shop	20	5	1	1	0	2	0	0	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	496	204	87	63	78	40	19	11	10	8	2	3	58
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	488	120	18	35	59	63	28	11	13	6	4	1	39
home---other	614	236	48	60	56	65	40	11	5	2	3	2	42
home---pt interaction	534	416	211	78	0	0	3	2	1	3	0	1	12
home---shop	545	217	44	50	56	51	25	13	9	8	5	4	20
home---work	1095	461	34	79	127	104	29	23	16	9	5	5	45
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	0
leisure---home	578	85	29	37	114	52	8	18	9	4	2	0	52
leisure---leisure	92	21	1	8	5	6	1	1	0	0	0	0	3
leisure---other	84	10	3	8	3	3	0	0	0	0	1	2	2
leisure---pt interaction	66	49	34	16	2	6	3	3	1	1	0	0	19
leisure---shop	77	17	5	13	5	4	0	0	0	0	1	2	7
leisure---work	73	16	5	7	12	7	2	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	592	154	90	65	80	50	22	21	8	2	1	3	49
other---leisure	86	11	1	5	3	4	2	1	0	0	0	1	6
other---other	148	47	10	12	16	16	5	1	0	3	1	0	5
other---pt interaction	98	61	56	23	3	2	4	2	2	3	1	1	15
other---shop	121	20	8	10	8	7	3	0	0	0	2	1	4
other---work	215	50	3	14	29	15	8	2	1	0	0	0	12
pt interaction---education	70	57	13	17	1	0	0	0	0	0	0	0	25
pt interaction---home	540	355	204	62	0	0	3	2	1	3	0	1	10
pt interaction---leisure	74	49	39	17	2	7	4	3	2	1	0	1	17
pt interaction---other	111	57	59	21	2	3	3	2	2	5	0	3	20
pt interaction---pt interaction	1594	637	781	697	575	448	366	299	218	149	111	70	155
pt interaction---shop	117	45	48	25	2	5	0	3	4	3	1	1	12
pt interaction---work	322	201	107	56	3	4	1	1	0	1	2	0	10
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	791	179	71	61	87	46	17	15	5	8	5	4	26
shop---leisure	79	18	3	5	0	3	1	0	1	0	0	2	4
shop---other	53	12	7	10	3	7	2	2	1	1	1	1	5
shop---pt interaction	96	59	46	26	1	5	0	3	3	4	1	1	14
shop---shop	314	39	11	24	17	11	5	5	1	1	1	0	11
shop---work	55	10	1	1	3	5	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	690	491	218	78	93	97	44	23	27	14	8	9	42
work---leisure	103	35	15	11	9	6	8	3	1	2	0	1	6
work---other	111	90	46	19	17	21	11	4	10	0	1	1	8
work---pt interaction	302	185	119	75	1	4	0	1	0	1	1	0	7
work---shop	94	56	29	7	8	12	6	4	0	0	1	0	11
work---work	122	30	6	6	9	3	1	1	1	0	0	1	7

average trip duration: 869.4965617082881 seconds = 00:14:29
