pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	306	208	128	76	61	26	25	7	17	7	3	3	89
education---leisure	8	0	3	4	3	3	0	1	0	0	0	0	9
education---other	27	1	3	5	3	0	0	2	1	0	1	0	7
education---pt interaction	108	67	38	8	6	0	0	0	0	0	0	0	7
education---shop	9	6	2	1	1	1	1	1	0	2	0	0	0
education---work	5	0	1	2	0	2	0	1	0	0	0	0	0
home---education	359	234	115	64	78	35	19	13	10	6	4	3	75
home---home	8	2	0	0	0	0	0	0	0	0	0	0	0
home---leisure	428	156	30	29	43	55	42	20	19	14	6	2	31
home---other	602	269	63	62	40	71	41	21	12	8	5	2	29
home---pt interaction	516	341	181	73	3	2	3	2	1	1	0	3	19
home---shop	512	242	65	55	40	58	32	25	9	9	5	2	17
home---work	1129	535	41	78	105	90	50	21	15	12	6	7	67
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	539	100	38	42	93	73	15	22	10	6	4	2	44
leisure---leisure	86	24	4	4	1	7	2	1	0	0	0	0	5
leisure---other	78	16	2	9	1	7	0	0	0	0	1	2	2
leisure---pt interaction	73	51	32	16	2	3	4	1	1	2	2	1	15
leisure---shop	69	21	8	13	5	3	2	0	0	0	1	1	5
leisure---work	65	19	4	6	13	6	1	1	4	2	0	0	5
other---education	11	1	0	1	2	1	0	2	0	0	0	0	1
other---home	592	188	100	61	82	46	25	23	11	9	3	5	41
other---leisure	80	18	2	7	3	6	3	2	0	0	0	1	4
other---other	147	51	9	11	15	17	5	3	2	1	2	1	4
other---pt interaction	73	49	42	19	1	3	1	3	2	2	0	1	11
other---shop	126	25	9	12	5	7	2	0	0	0	0	1	3
other---work	229	47	2	15	29	16	9	4	2	0	0	0	5
pt interaction---education	100	81	25	18	2	0	0	0	0	0	0	0	23
pt interaction---home	489	313	182	59	0	3	3	2	0	1	0	1	17
pt interaction---leisure	93	57	25	19	0	4	3	2	1	2	2	1	14
pt interaction---other	87	57	38	11	2	6	0	1	2	3	0	2	13
pt interaction---pt interaction	1308	594	644	595	452	363	305	230	173	130	92	57	129
pt interaction---shop	104	42	33	22	1	2	1	1	3	0	1	0	12
pt interaction---work	271	156	92	38	1	3	0	1	0	0	2	1	5
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	756	189	103	66	82	65	20	11	13	8	6	2	21
shop---leisure	72	19	9	1	3	4	3	1	0	1	0	0	2
shop---other	62	15	10	9	3	4	0	2	1	2	1	0	4
shop---pt interaction	83	54	32	16	0	3	1	1	1	0	1	0	14
shop---shop	330	44	15	19	16	12	3	5	2	0	0	1	6
shop---work	56	9	3	1	3	7	0	0	2	0	1	1	4
work---education	4	2	2	0	1	2	0	0	0	0	0	0	0
work---home	678	490	296	82	84	84	38	31	25	16	9	15	71
work---leisure	96	43	14	11	11	3	10	2	2	3	0	1	7
work---other	124	78	64	18	14	19	11	11	8	3	4	0	8
work---pt interaction	272	139	104	50	0	3	0	0	0	0	2	0	5
work---shop	97	58	31	8	8	9	11	0	3	0	0	0	10
work---work	127	29	6	6	9	3	2	1	1	1	1	1	4

average trip duration: 902.458825764773 seconds = 00:15:02
