pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	3	3	1	0	0	0	1	0	0	0	0	0	1
education---home	386	165	94	61	63	22	14	9	7	7	5	5	115
education---leisure	14	1	1	3	3	0	0	1	0	0	0	0	10
education---other	38	0	2	3	5	0	0	1	1	0	0	0	6
education---pt interaction	96	59	46	5	7	0	0	0	0	0	0	0	9
education---shop	13	8	1	1	1	1	1	1	0	2	0	0	0
education---work	5	1	0	1	0	2	0	1	0	1	0	1	0
home---education	432	183	85	53	69	28	21	14	10	6	5	8	95
home---home	8	2	0	0	0	0	0	0	0	0	0	0	0
home---leisure	474	161	41	31	58	30	24	15	10	13	8	6	96
home---other	652	305	64	65	38	29	31	26	16	14	15	21	46
home---pt interaction	317	214	107	30	2	3	4	0	2	0	2	3	24
home---shop	527	286	65	56	42	35	24	25	22	4	10	5	40
home---work	1148	600	75	70	101	79	37	31	23	27	25	19	101
leisure---education	5	0	0	1	2	0	0	0	0	0	0	0	0
leisure---home	605	99	45	41	99	62	31	25	13	5	7	2	52
leisure---leisure	92	26	4	4	3	4	0	2	3	0	1	1	2
leisure---other	87	17	5	10	2	5	0	0	0	0	0	0	0
leisure---pt interaction	26	19	15	6	1	1	1	0	1	0	0	0	3
leisure---shop	77	24	7	13	4	2	4	0	1	0	2	1	2
leisure---work	69	20	5	6	10	7	3	0	3	2	2	0	5
other---education	16	2	0	0	1	1	0	0	0	0	0	0	1
other---home	658	216	103	59	54	42	25	23	6	7	7	9	70
other---leisure	92	18	5	6	2	3	1	2	1	1	0	0	1
other---other	160	58	10	12	12	8	4	7	1	2	0	2	8
other---pt interaction	22	18	14	4	0	0	0	1	0	1	0	0	6
other---shop	134	30	12	10	3	2	1	2	1	2	0	0	2
other---work	234	52	6	12	13	8	8	11	1	10	5	7	6
pt interaction---education	98	91	20	18	2	0	0	0	0	0	0	0	23
pt interaction---home	281	176	99	34	0	3	2	0	0	1	2	2	22
pt interaction---leisure	36	25	10	11	2	2	0	2	0	0	0	0	3
pt interaction---other	29	20	17	2	0	1	1	0	0	1	1	1	4
pt interaction---pt interaction	682	282	325	316	253	232	178	134	111	97	58	40	87
pt interaction---shop	39	20	13	6	2	1	0	0	1	0	0	0	0
pt interaction---work	178	93	49	19	0	4	0	1	0	0	1	1	1
shop---education	2	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	800	236	93	71	68	44	22	16	11	14	5	1	56
shop---leisure	87	13	9	4	1	3	0	1	2	0	0	0	4
shop---other	67	25	8	5	1	3	1	2	1	1	0	0	5
shop---pt interaction	37	17	8	5	0	0	0	0	0	0	0	1	1
shop---shop	354	52	17	21	14	7	5	3	1	0	0	0	7
shop---work	57	11	3	2	4	4	0	1	2	2	0	1	1
work---education	4	3	2	0	1	1	1	0	0	0	0	0	0
work---home	710	603	253	87	72	59	35	21	15	13	17	15	181
work---leisure	98	53	21	9	8	1	7	5	1	2	1	0	9
work---other	118	103	55	17	17	9	6	7	4	4	4	2	25
work---pt interaction	169	95	61	22	0	4	0	0	0	0	0	0	3
work---shop	100	68	31	15	10	4	3	6	3	1	0	1	11
work---work	124	48	7	7	9	6	0	1	0	0	2	1	3

average trip duration: 942.5027019959906 seconds = 00:15:42
