pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	412	197	107	68	70	31	18	14	13	3	1	3	68
education---leisure	15	2	2	3	5	0	0	1	0	0	0	0	8
education---other	40	0	3	3	3	4	0	1	1	0	0	1	2
education---pt interaction	72	50	29	3	4	0	0	0	0	0	0	0	7
education---shop	19	6	1	1	0	2	0	0	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	494	204	88	63	78	40	22	12	10	7	3	3	60
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	489	123	17	33	58	63	29	15	11	8	3	1	40
home---other	609	244	49	58	51	65	43	14	5	2	3	2	42
home---pt interaction	526	391	206	74	0	0	3	1	1	2	0	1	12
home---shop	537	228	46	51	53	54	27	14	8	9	3	4	21
home---work	1079	481	43	80	128	102	31	28	15	9	4	5	50
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	0
leisure---home	582	91	27	35	114	50	7	18	10	3	3	0	53
leisure---leisure	91	22	1	8	4	6	1	1	0	0	0	0	3
leisure---other	83	11	3	8	2	5	0	0	0	0	1	2	2
leisure---pt interaction	67	48	31	15	2	6	3	2	1	1	0	0	19
leisure---shop	77	17	5	12	5	4	0	0	0	0	1	2	7
leisure---work	73	17	5	7	12	7	2	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	592	168	81	63	81	46	27	22	7	3	1	2	48
other---leisure	87	12	2	5	2	5	2	1	0	0	0	1	6
other---other	147	50	8	12	17	16	5	1	0	2	1	0	5
other---pt interaction	94	61	54	20	3	2	4	2	2	3	1	1	14
other---shop	122	21	7	10	8	7	2	0	0	0	2	1	4
other---work	214	52	2	15	30	14	9	2	1	0	0	0	12
pt interaction---education	65	59	13	16	1	0	0	0	0	0	0	0	24
pt interaction---home	526	340	202	60	0	0	3	1	1	2	0	1	10
pt interaction---leisure	72	49	36	15	2	7	4	2	2	1	0	1	17
pt interaction---other	109	56	60	18	2	3	3	2	2	5	0	3	19
pt interaction---pt interaction	1528	619	742	688	549	435	346	283	209	148	110	67	155
pt interaction---shop	116	42	48	26	2	4	0	2	4	2	1	1	12
pt interaction---work	312	196	103	52	3	4	1	1	0	0	2	0	10
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	785	191	68	60	89	45	19	17	6	7	4	4	27
shop---leisure	80	18	2	5	0	3	2	0	1	0	0	2	4
shop---other	54	14	7	9	3	6	2	2	0	1	1	1	5
shop---pt interaction	91	61	45	25	1	4	0	3	2	3	1	1	14
shop---shop	317	38	10	25	14	10	5	6	1	1	1	0	11
shop---work	55	10	1	1	3	5	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	676	524	208	80	93	101	42	27	23	14	9	9	46
work---leisure	101	37	16	11	9	5	8	3	1	2	0	1	6
work---other	112	92	45	17	18	22	11	4	10	0	0	2	7
work---pt interaction	294	186	116	70	1	4	0	1	0	0	1	0	7
work---shop	96	60	25	6	6	12	6	4	0	0	1	0	11
work---work	118	35	4	6	8	3	1	2	1	0	0	1	7

average trip duration: 877.0944956814523 seconds = 00:14:37
