pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	237	257	139	79	69	31	22	13	13	3	2	3	77
education---leisure	7	1	4	3	5	1	0	1	0	0	0	0	7
education---other	18	3	2	6	2	4	1	2	0	0	1	1	4
education---pt interaction	122	72	39	8	3	0	0	0	0	0	0	0	6
education---shop	11	5	3	1	0	2	0	1	0	2	0	1	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	305	284	126	69	84	39	19	12	12	4	3	3	59
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	387	160	16	30	34	54	33	24	16	8	5	3	44
home---other	564	259	42	60	47	72	45	10	6	5	2	3	44
home---pt interaction	650	444	245	88	1	1	4	1	2	2	0	2	17
home---shop	488	248	50	56	38	51	31	13	8	9	2	4	26
home---work	1071	501	32	79	104	93	29	23	20	8	5	5	46
leisure---education	3	0	1	2	1	0	0	0	0	0	0	0	1
leisure---home	484	106	31	37	88	57	14	18	11	7	4	2	67
leisure---leisure	74	28	3	5	2	8	2	1	1	0	1	0	5
leisure---other	70	16	3	9	1	7	0	0	0	0	1	2	3
leisure---pt interaction	90	68	44	24	6	6	5	3	1	3	2	1	26
leisure---shop	69	20	4	13	4	5	1	0	0	0	1	1	7
leisure---work	68	21	4	6	11	10	1	0	1	2	0	0	4
other---education	9	1	0	1	3	0	1	2	0	0	1	0	1
other---home	534	195	80	58	83	46	20	23	8	6	2	5	54
other---leisure	74	14	3	4	2	9	3	1	0	0	0	1	9
other---other	138	48	7	11	17	14	5	2	1	1	2	0	8
other---pt interaction	119	74	64	28	2	2	3	2	3	2	1	1	16
other---shop	112	24	7	12	7	8	1	0	0	0	2	1	5
other---work	222	44	1	14	29	16	8	2	2	0	0	0	9
pt interaction---education	95	84	21	19	1	0	0	0	0	0	0	0	23
pt interaction---home	656	401	248	72	0	1	3	2	1	2	0	1	16
pt interaction---leisure	121	69	45	20	4	8	7	4	2	2	2	1	25
pt interaction---other	133	69	71	24	3	6	2	2	3	4	0	2	20
pt interaction---pt interaction	1770	795	880	788	624	477	382	303	225	149	117	77	157
pt interaction---shop	142	53	52	33	1	4	1	2	4	1	1	1	17
pt interaction---work	333	204	114	53	4	4	1	0	0	0	2	1	9
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	723	208	70	60	73	53	20	13	8	6	6	5	30
shop---leisure	69	18	5	4	2	4	0	0	0	1	0	2	4
shop---other	51	17	6	10	4	4	1	2	0	1	0	1	6
shop---pt interaction	127	75	47	30	1	4	2	2	2	2	1	1	18
shop---shop	303	46	11	20	16	13	5	3	1	3	1	1	13
shop---work	54	9	2	1	3	5	0	1	1	0	1	1	5
work---education	5	3	2	0	1	2	0	0	0	0	0	0	0
work---home	628	548	218	74	78	81	42	28	24	13	10	8	51
work---leisure	92	49	11	8	10	7	6	2	3	3	0	1	7
work---other	123	93	42	17	16	18	9	9	9	0	0	2	6
work---pt interaction	329	183	128	69	1	4	0	1	0	0	2	0	6
work---shop	96	58	25	5	8	15	4	2	1	0	1	0	10
work---work	129	25	5	6	10	3	1	2	1	0	0	1	6

average trip duration: 917.6157964263366 seconds = 00:15:17
