pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	3	3	1	0	0	0	1	0	0	0	0	0	1
education---home	394	162	89	60	62	22	14	9	7	7	5	6	116
education---leisure	15	1	1	3	3	0	0	1	0	0	0	0	10
education---other	39	0	2	3	5	0	0	1	1	0	0	0	6
education---pt interaction	96	58	46	4	7	0	0	0	0	0	0	0	9
education---shop	15	7	1	1	1	1	1	0	0	2	0	0	0
education---work	5	1	0	1	0	2	0	1	0	1	0	1	0
home---education	448	174	80	53	69	29	18	14	10	6	6	6	99
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	473	171	38	32	57	30	24	15	10	15	8	6	100
home---other	658	315	66	63	36	28	29	26	17	10	18	14	61
home---pt interaction	295	188	93	29	2	2	6	0	2	0	1	3	24
home---shop	531	292	66	56	44	30	23	23	20	9	6	6	45
home---work	1148	605	73	72	103	76	39	32	23	25	26	21	110
leisure---education	5	0	0	1	2	0	0	0	0	0	0	0	0
leisure---home	610	105	41	44	94	62	38	28	13	6	5	2	52
leisure---leisure	90	28	5	4	3	4	1	2	3	0	1	0	3
leisure---other	86	18	5	10	2	5	0	0	0	0	0	0	0
leisure---pt interaction	19	15	12	4	1	0	1	0	1	0	0	0	1
leisure---shop	78	26	6	13	4	2	4	0	0	1	0	1	3
leisure---work	67	21	5	7	10	8	3	0	3	2	1	1	5
other---education	16	2	0	0	1	1	0	0	0	0	0	0	1
other---home	669	221	104	61	50	46	31	17	10	8	4	10	67
other---leisure	93	18	6	6	2	3	1	2	1	1	0	0	1
other---other	160	58	9	13	12	6	4	5	3	2	1	2	9
other---pt interaction	13	13	9	3	0	0	0	1	0	0	0	0	3
other---shop	135	31	12	10	4	2	2	0	1	0	2	0	2
other---work	236	52	6	11	13	7	9	8	5	8	5	6	9
pt interaction---education	98	88	19	19	2	0	0	0	0	0	0	0	24
pt interaction---home	251	157	90	32	0	2	4	0	0	1	1	2	20
pt interaction---leisure	29	21	9	9	2	0	0	2	0	0	0	0	1
pt interaction---other	17	16	11	1	0	1	1	0	0	0	1	1	2
pt interaction---pt interaction	600	254	271	284	232	214	154	125	103	91	49	36	82
pt interaction---shop	32	16	8	5	2	1	0	0	1	0	0	0	0
pt interaction---work	163	89	47	18	0	4	0	1	0	0	1	1	0
shop---education	2	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	807	237	97	73	66	45	21	15	12	11	4	4	57
shop---leisure	89	10	9	5	1	3	0	1	2	0	0	0	4
shop---other	67	25	8	5	1	3	1	2	0	1	0	1	5
shop---pt interaction	31	14	4	4	0	0	0	0	0	0	0	1	1
shop---shop	353	51	20	21	13	7	5	5	1	0	0	0	7
shop---work	58	11	3	2	3	5	0	1	1	1	0	1	2
work---education	4	3	2	0	1	0	1	0	0	0	0	0	0
work---home	686	607	268	91	71	60	34	25	15	13	14	18	192
work---leisure	97	51	23	8	9	1	6	6	1	2	0	2	9
work---other	116	105	57	18	16	12	5	8	5	2	3	4	26
work---pt interaction	157	91	55	20	1	4	0	0	0	0	0	0	2
work---shop	100	66	34	16	10	4	3	6	3	1	0	1	11
work---work	124	48	7	7	8	7	0	1	0	0	2	1	3

average trip duration: 957.6463186910902 seconds = 00:15:57
