pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	411	193	108	73	72	28	17	14	14	3	1	3	72
education---leisure	15	2	2	3	5	0	0	1	0	0	0	0	8
education---other	40	0	3	3	3	4	0	1	1	0	0	1	2
education---pt interaction	70	49	29	3	4	0	0	0	0	0	0	0	5
education---shop	19	6	1	1	0	2	0	0	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	494	200	88	65	78	40	22	12	9	7	2	3	63
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	490	128	17	33	57	59	29	19	11	9	3	1	38
home---other	616	239	50	61	51	67	43	14	5	2	3	2	41
home---pt interaction	513	378	203	72	0	0	3	1	1	2	0	1	13
home---shop	531	236	47	54	51	56	28	15	8	9	1	4	20
home---work	1093	485	44	81	125	100	31	25	16	9	5	6	50
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	0
leisure---home	580	95	29	38	111	53	9	20	10	3	3	0	50
leisure---leisure	94	22	1	7	3	6	1	1	0	0	0	0	3
leisure---other	80	14	4	8	2	5	0	0	0	0	1	2	2
leisure---pt interaction	63	46	30	14	2	5	3	2	1	1	0	0	19
leisure---shop	77	17	5	12	5	4	0	0	0	0	1	2	7
leisure---work	74	16	5	6	12	7	2	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	589	171	88	66	84	46	27	23	7	3	1	2	46
other---leisure	87	12	2	5	2	5	2	1	0	0	0	1	6
other---other	147	49	9	13	18	13	5	2	0	2	1	0	5
other---pt interaction	90	58	49	20	3	2	3	2	2	3	1	1	14
other---shop	120	22	9	10	7	8	2	0	0	0	2	1	4
other---work	217	49	2	15	31	16	8	2	1	0	0	0	12
pt interaction---education	64	61	14	15	1	0	0	0	0	0	0	0	23
pt interaction---home	512	325	195	56	0	0	3	1	1	2	0	1	11
pt interaction---leisure	73	46	32	16	2	6	4	2	2	1	0	1	17
pt interaction---other	102	55	58	17	2	3	2	2	2	5	0	3	18
pt interaction---pt interaction	1465	593	723	671	523	418	338	274	200	138	107	68	146
pt interaction---shop	112	43	45	26	2	4	0	1	4	2	1	1	11
pt interaction---work	303	193	100	50	3	4	1	1	0	0	2	0	9
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	786	193	69	61	88	49	18	16	6	7	4	4	25
shop---leisure	77	17	5	5	0	4	2	0	1	0	0	2	3
shop---other	57	12	7	10	3	6	2	2	0	1	0	1	5
shop---pt interaction	93	60	41	24	1	4	0	2	2	3	1	1	13
shop---shop	318	38	12	23	15	11	4	6	1	1	1	0	10
shop---work	55	10	1	1	3	5	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	676	529	218	79	92	98	40	28	25	11	11	9	48
work---leisure	102	37	16	11	9	5	8	3	1	3	0	1	6
work---other	111	93	47	17	19	21	11	4	9	3	0	2	7
work---pt interaction	288	176	115	67	1	4	0	1	0	0	1	0	6
work---shop	99	59	25	5	7	11	8	3	0	0	1	0	10
work---work	119	35	4	7	9	3	1	2	1	0	0	1	6

average trip duration: 875.2516188714153 seconds = 00:14:35
