pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	300	212	126	78	64	27	25	7	15	6	3	3	90
education---leisure	7	0	3	4	3	3	0	1	0	0	0	0	9
education---other	27	1	4	5	2	0	0	2	0	0	1	0	7
education---pt interaction	110	67	37	9	6	0	0	0	0	0	0	0	7
education---shop	9	6	2	1	1	1	1	1	0	2	0	0	0
education---work	5	0	1	2	0	2	0	1	0	0	0	0	0
home---education	351	240	113	63	80	36	19	12	9	6	4	3	74
home---home	8	2	0	0	0	0	0	0	0	0	0	0	0
home---leisure	423	156	29	30	43	54	43	22	18	14	4	3	34
home---other	591	274	56	63	40	72	43	19	13	6	5	2	31
home---pt interaction	531	348	185	72	3	2	3	2	1	1	0	3	20
home---shop	507	249	65	54	41	58	33	23	10	8	5	2	16
home---work	1121	532	46	78	105	87	47	23	15	11	6	7	69
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	530	104	37	42	93	72	15	22	10	5	5	2	50
leisure---leisure	83	25	5	4	0	9	1	1	0	0	0	0	5
leisure---other	76	17	2	9	1	7	0	0	0	0	1	2	3
leisure---pt interaction	73	51	32	16	2	3	4	1	1	2	2	1	16
leisure---shop	68	20	9	15	4	3	2	0	0	0	1	1	6
leisure---work	64	20	4	6	12	7	1	1	4	2	0	0	5
other---education	11	1	0	1	2	1	0	2	0	0	0	0	1
other---home	578	194	90	67	82	50	22	23	12	8	3	5	43
other---leisure	79	18	2	7	3	6	3	2	0	0	0	1	5
other---other	145	51	8	12	17	15	5	3	3	0	2	1	5
other---pt interaction	78	51	44	19	1	3	1	3	3	2	1	1	12
other---shop	124	26	7	13	5	8	2	0	0	0	1	1	3
other---work	227	46	2	15	31	14	9	4	2	0	0	0	6
pt interaction---education	100	84	24	19	2	0	0	0	0	0	0	0	25
pt interaction---home	495	321	186	60	0	3	3	2	0	1	0	1	18
pt interaction---leisure	93	56	29	18	0	4	3	2	1	2	2	1	15
pt interaction---other	93	60	42	11	2	6	0	1	3	3	0	2	14
pt interaction---pt interaction	1352	605	661	605	468	373	310	234	182	135	95	59	132
pt interaction---shop	104	42	33	22	1	2	1	1	3	0	1	0	12
pt interaction---work	275	161	93	37	2	3	0	1	0	0	2	1	5
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	750	202	91	68	84	65	19	12	13	8	6	2	21
shop---leisure	72	19	7	2	4	3	3	1	0	1	0	0	3
shop---other	62	14	11	9	3	4	0	2	2	1	1	0	4
shop---pt interaction	84	53	33	16	0	3	1	1	1	0	1	0	14
shop---shop	330	46	13	19	16	12	3	5	2	0	0	1	6
shop---work	56	9	3	1	3	7	0	0	2	0	1	1	4
work---education	4	2	2	0	1	2	0	0	0	0	0	0	0
work---home	668	501	282	89	83	83	39	33	25	13	12	12	70
work---leisure	95	45	12	12	11	4	9	2	3	2	0	1	8
work---other	123	87	53	20	14	19	10	11	9	3	2	0	8
work---pt interaction	276	143	105	52	0	3	0	0	0	0	2	0	5
work---shop	95	60	28	11	8	10	10	0	2	0	0	0	10
work---work	129	28	6	6	9	3	2	1	1	1	1	1	4

average trip duration: 913.0537216584298 seconds = 00:15:13
