pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	411	198	105	70	72	30	18	14	14	3	1	3	68
education---leisure	15	2	2	3	5	0	0	1	0	0	0	0	8
education---other	40	0	3	3	3	4	0	1	1	0	0	1	2
education---pt interaction	72	49	29	3	4	0	0	0	0	0	0	0	6
education---shop	19	6	1	1	0	2	0	0	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	492	205	88	65	78	41	22	12	9	7	3	3	60
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	494	120	17	32	58	62	29	15	11	8	3	1	40
home---other	609	244	49	57	52	61	45	13	4	2	3	2	42
home---pt interaction	524	388	206	74	0	0	3	1	1	2	0	1	12
home---shop	538	228	47	52	53	53	27	14	8	9	3	4	21
home---work	1081	486	42	80	127	103	30	29	15	9	4	5	50
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	0
leisure---home	585	91	27	35	115	47	9	19	9	3	3	0	53
leisure---leisure	91	22	1	8	4	6	1	1	0	0	0	0	3
leisure---other	83	11	3	8	2	5	0	0	0	0	1	2	2
leisure---pt interaction	66	46	31	15	2	6	3	2	1	1	0	0	19
leisure---shop	77	17	5	12	5	4	0	0	0	0	1	2	7
leisure---work	73	17	5	7	12	7	2	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	592	169	81	63	80	47	26	23	7	2	1	2	48
other---leisure	87	12	2	5	2	5	2	1	0	0	0	1	6
other---other	147	50	8	13	17	15	4	2	0	2	1	0	5
other---pt interaction	94	61	54	20	3	2	4	2	2	3	1	1	14
other---shop	122	21	7	10	8	7	2	0	0	0	2	1	4
other---work	215	51	2	15	31	13	9	2	1	0	0	0	12
pt interaction---education	64	60	13	16	1	0	0	0	0	0	0	0	23
pt interaction---home	526	339	199	60	0	0	3	1	1	2	0	1	10
pt interaction---leisure	73	47	36	15	2	7	4	2	2	1	0	1	17
pt interaction---other	112	57	60	18	2	3	3	2	2	5	0	3	19
pt interaction---pt interaction	1526	620	739	683	545	431	346	282	208	149	110	67	153
pt interaction---shop	114	41	48	26	2	4	0	2	4	2	1	1	12
pt interaction---work	307	196	102	52	3	4	1	1	0	0	2	0	10
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	791	185	69	60	89	45	19	17	5	7	4	4	27
shop---leisure	80	18	2	5	0	3	2	0	1	0	0	2	4
shop---other	54	14	7	9	3	6	2	2	0	1	1	1	5
shop---pt interaction	92	61	45	24	1	4	0	3	2	3	1	1	14
shop---shop	317	38	10	24	15	10	5	6	1	1	1	0	11
shop---work	56	10	1	1	2	5	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	679	522	211	81	90	102	41	26	22	13	10	8	46
work---leisure	102	37	16	11	9	5	8	3	1	2	0	1	6
work---other	112	92	45	17	16	24	11	4	10	0	0	2	7
work---pt interaction	295	185	116	69	1	4	0	1	0	0	1	0	7
work---shop	98	60	26	4	6	13	5	4	0	0	1	0	11
work---work	118	35	4	6	8	3	1	2	1	0	0	1	7

average trip duration: 874.8530026013997 seconds = 00:14:34
