pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	287	222	130	79	63	29	23	7	17	3	2	3	90
education---leisure	7	0	3	3	3	3	0	1	0	0	0	0	9
education---other	22	3	4	5	2	1	1	2	0	0	1	1	6
education---pt interaction	111	70	38	8	6	0	0	0	0	0	0	0	5
education---shop	10	6	2	1	1	2	0	1	0	2	0	0	0
education---work	5	0	1	2	0	2	0	1	0	0	0	0	0
home---education	336	253	118	65	83	35	19	12	10	5	3	3	73
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	411	164	22	31	41	51	42	22	19	10	4	3	36
home---other	585	276	49	61	37	73	43	20	8	6	4	2	36
home---pt interaction	559	359	194	74	3	2	3	2	2	1	0	3	18
home---shop	505	251	55	55	42	56	37	15	8	10	3	3	18
home---work	1126	533	33	81	103	90	47	17	16	12	5	6	68
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	519	101	38	44	90	65	14	24	7	5	5	1	55
leisure---leisure	79	27	4	4	0	9	1	1	1	0	0	0	5
leisure---other	74	18	2	10	1	7	0	0	0	0	1	2	3
leisure---pt interaction	79	55	36	18	4	4	5	2	1	2	2	1	19
leisure---shop	66	21	7	15	4	3	2	0	0	0	1	1	6
leisure---work	63	21	4	6	12	8	1	0	4	2	0	0	5
other---education	11	1	0	1	3	0	0	2	0	0	0	0	1
other---home	565	203	85	62	81	49	23	23	12	6	3	4	49
other---leisure	75	19	2	7	3	8	2	2	0	0	0	1	6
other---other	144	50	8	10	17	17	4	3	2	0	3	0	6
other---pt interaction	84	55	51	21	1	3	1	3	3	2	1	1	12
other---shop	123	27	6	12	5	8	2	0	0	0	1	1	4
other---work	229	44	0	14	31	16	7	2	2	0	0	0	8
pt interaction---education	99	83	24	18	2	0	0	0	0	0	0	0	23
pt interaction---home	517	335	200	63	0	3	3	2	1	1	0	1	16
pt interaction---leisure	102	59	35	18	2	5	4	2	2	2	2	1	19
pt interaction---other	101	61	46	15	3	6	0	1	3	4	0	2	16
pt interaction---pt interaction	1428	652	689	637	488	388	326	245	193	136	102	60	136
pt interaction---shop	110	46	37	26	1	2	1	1	4	0	1	0	13
pt interaction---work	280	165	96	40	2	3	0	1	0	0	2	1	5
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	747	205	86	65	81	64	20	12	10	7	6	3	24
shop---leisure	71	19	6	2	3	4	1	1	0	1	0	0	4
shop---other	55	19	9	9	5	3	0	3	1	1	1	0	5
shop---pt interaction	93	57	35	19	0	3	1	2	2	0	1	0	14
shop---shop	319	48	14	19	16	12	5	4	2	0	1	1	8
shop---work	56	9	3	1	4	5	0	0	2	0	1	1	4
work---education	4	2	2	0	1	2	0	0	0	0	0	0	0
work---home	667	545	238	79	84	83	41	35	23	13	11	10	71
work---leisure	94	43	13	12	10	5	8	2	3	2	0	1	8
work---other	123	96	46	17	16	20	11	8	8	4	1	2	6
work---pt interaction	276	151	108	57	0	3	0	0	0	0	2	0	4
work---shop	97	59	29	8	8	10	10	1	2	0	0	0	10
work---work	126	30	6	5	10	2	2	1	2	0	1	1	5

average trip duration: 919.6848306880273 seconds = 00:15:19
