pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	418	193	106	70	72	31	18	12	14	3	1	3	65
education---leisure	15	2	2	3	4	1	0	1	0	0	0	0	8
education---other	40	0	3	3	3	4	0	1	1	0	0	1	2
education---pt interaction	75	48	27	3	4	0	0	0	0	0	0	0	8
education---shop	20	4	1	1	0	2	0	0	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	496	205	87	63	79	39	20	9	9	8	2	3	58
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	489	121	17	34	60	63	27	12	13	7	3	1	39
home---other	614	235	48	61	54	68	39	11	5	2	3	2	42
home---pt interaction	534	415	211	78	0	0	3	2	1	3	0	1	12
home---shop	545	215	45	52	55	51	26	12	9	8	5	4	20
home---work	1096	461	34	78	128	105	27	25	15	9	5	5	45
leisure---education	5	0	0	2	1	0	0	0	0	0	0	0	0
leisure---home	578	85	29	37	113	53	7	18	9	4	2	0	52
leisure---leisure	92	21	1	8	5	6	1	1	0	0	0	0	3
leisure---other	84	10	3	8	3	3	0	0	0	0	1	2	2
leisure---pt interaction	65	49	35	16	2	6	3	3	1	1	0	0	19
leisure---shop	78	17	5	13	5	4	0	0	0	0	1	1	7
leisure---work	72	17	5	7	12	7	2	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	592	153	91	65	82	49	22	22	7	3	1	3	49
other---leisure	86	11	1	5	3	5	0	2	0	0	0	1	6
other---other	152	44	9	12	16	16	5	1	0	3	1	0	5
other---pt interaction	97	61	55	23	3	2	4	2	2	3	1	1	15
other---shop	120	20	8	10	8	7	3	0	0	0	2	1	5
other---work	217	48	3	14	30	14	8	2	1	0	0	0	12
pt interaction---education	69	58	13	17	1	0	0	0	0	0	0	0	25
pt interaction---home	541	355	204	62	0	0	3	2	1	3	0	1	10
pt interaction---leisure	74	48	39	17	2	7	4	3	2	1	0	1	17
pt interaction---other	110	57	59	21	2	3	3	2	2	5	0	3	20
pt interaction---pt interaction	1596	634	781	696	575	449	368	300	218	151	110	70	155
pt interaction---shop	118	45	48	25	2	5	0	3	4	3	1	1	12
pt interaction---work	321	201	107	56	3	4	1	1	0	1	2	0	10
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	792	177	72	61	87	46	17	15	5	8	5	4	26
shop---leisure	78	18	3	6	0	3	1	0	1	0	0	2	4
shop---other	53	12	7	10	3	7	1	3	1	1	1	1	5
shop---pt interaction	97	59	45	26	1	5	0	3	3	4	1	1	14
shop---shop	314	39	11	25	16	11	5	4	2	1	1	0	11
shop---work	55	10	1	1	3	5	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	693	488	217	77	93	98	42	23	27	15	7	10	41
work---leisure	102	36	15	11	9	6	8	3	1	2	0	1	6
work---other	111	91	46	19	16	23	10	4	10	0	1	1	8
work---pt interaction	303	185	120	75	1	4	0	1	0	1	1	0	7
work---shop	95	55	29	7	8	12	6	4	0	0	1	0	11
work---work	122	30	6	6	9	3	1	1	1	0	0	1	7

average trip duration: 868.7169947886508 seconds = 00:14:28
