pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	262	238	140	81	66	30	22	11	14	3	2	3	75
education---leisure	7	1	3	3	5	1	0	1	0	0	0	0	8
education---other	20	3	4	5	2	2	1	2	0	0	1	1	5
education---pt interaction	118	72	38	8	4	0	0	0	0	0	0	0	6
education---shop	10	7	2	1	0	2	0	1	0	2	0	1	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	315	276	126	66	87	34	22	11	11	5	3	3	60
home---home	8	2	0	0	0	0	0	0	0	0	0	0	0
home---leisure	395	157	23	28	38	55	34	22	17	7	5	3	42
home---other	558	267	50	61	42	74	40	16	6	6	2	3	42
home---pt interaction	623	418	228	86	1	1	4	2	2	2	0	3	18
home---shop	491	254	51	54	39	54	29	15	8	9	2	4	25
home---work	1064	541	38	81	98	91	35	19	15	8	5	5	54
leisure---education	4	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	495	105	34	38	88	60	14	20	9	6	4	2	67
leisure---leisure	76	26	4	5	1	8	2	1	1	0	1	0	5
leisure---other	71	17	3	9	1	7	0	0	0	0	1	2	3
leisure---pt interaction	87	64	41	23	6	4	4	3	1	4	2	1	24
leisure---shop	67	18	6	13	5	4	1	0	0	0	1	1	7
leisure---work	67	22	4	6	10	10	2	0	1	2	0	0	4
other---education	10	1	0	1	3	0	1	2	0	0	1	0	1
other---home	539	196	84	60	87	43	20	22	8	5	2	5	54
other---leisure	73	17	2	6	2	9	3	1	0	0	0	1	8
other---other	134	53	8	10	15	16	4	3	1	1	2	0	8
other---pt interaction	116	66	60	25	2	2	3	2	3	2	1	1	15
other---shop	113	25	7	13	6	8	1	0	0	0	2	1	5
other---work	210	58	1	14	33	13	7	2	2	0	0	0	9
pt interaction---education	97	84	21	19	1	0	0	0	0	0	0	0	22
pt interaction---home	608	379	234	71	0	1	3	3	1	2	0	1	17
pt interaction---leisure	112	66	42	20	4	6	6	4	2	3	2	1	23
pt interaction---other	127	71	63	21	3	6	2	2	3	4	0	2	19
pt interaction---pt interaction	1680	761	813	736	593	451	368	283	210	147	115	75	144
pt interaction---shop	132	51	49	32	2	4	1	1	4	1	1	1	15
pt interaction---work	314	192	108	53	3	3	0	0	0	0	2	1	8
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	732	201	82	61	78	54	21	12	7	7	6	5	30
shop---leisure	68	18	6	4	2	4	0	0	0	1	0	2	4
shop---other	49	18	7	10	4	5	0	2	0	2	0	2	5
shop---pt interaction	115	68	45	27	1	4	1	2	2	2	1	1	16
shop---shop	309	45	12	21	14	13	5	4	1	1	1	1	13
shop---work	56	9	1	1	3	5	0	1	1	1	0	1	5
work---education	4	3	2	0	1	2	0	0	0	0	0	0	0
work---home	647	502	276	81	71	82	44	26	20	12	10	9	56
work---leisure	94	45	16	8	10	8	6	1	4	2	0	1	8
work---other	123	81	59	14	16	18	7	11	8	1	0	2	6
work---pt interaction	304	175	124	67	1	3	0	0	0	0	2	0	6
work---shop	96	58	26	7	8	12	11	0	0	0	1	0	9
work---work	127	27	5	6	10	3	1	1	2	0	0	1	6

average trip duration: 916.0600595280278 seconds = 00:15:16
