pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	279	240	128	80	62	30	20	9	14	5	1	3	84
education---leisure	7	0	3	3	4	2	0	1	0	0	0	0	9
education---other	20	3	4	5	4	2	1	2	0	0	1	1	5
education---pt interaction	109	71	38	7	4	0	0	0	0	0	0	0	6
education---shop	11	6	3	1	1	1	1	1	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	331	266	124	65	82	32	23	11	11	5	2	3	66
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	408	155	26	29	39	55	40	20	18	10	5	4	38
home---other	565	281	49	61	38	74	44	20	6	7	2	2	39
home---pt interaction	593	385	212	81	2	2	4	2	2	1	0	3	19
home---shop	495	252	60	54	39	53	31	19	7	9	1	3	22
home---work	1075	544	38	82	101	90	37	16	18	9	4	5	62
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	507	102	40	38	93	61	15	22	8	5	5	2	64
leisure---leisure	77	26	4	4	1	8	2	1	1	0	1	0	5
leisure---other	73	17	2	9	1	7	0	0	0	0	1	2	3
leisure---pt interaction	82	57	38	19	4	4	5	2	1	2	2	1	22
leisure---shop	67	18	7	14	5	3	2	0	0	0	1	1	7
leisure---work	65	22	3	5	12	9	2	0	2	2	0	0	5
other---education	11	1	0	1	3	0	1	2	0	0	0	0	1
other---home	549	197	87	65	88	47	20	20	12	6	1	5	51
other---leisure	74	19	3	6	2	8	4	1	0	0	0	1	6
other---other	135	55	7	12	13	18	4	3	2	1	2	0	6
other---pt interaction	99	57	54	24	1	2	2	2	3	2	1	1	13
other---shop	118	27	5	15	6	7	2	0	0	0	1	1	5
other---work	213	58	1	14	32	14	9	2	2	0	0	0	8
pt interaction---education	95	81	22	18	1	0	0	0	0	0	0	0	24
pt interaction---home	567	350	213	64	0	3	3	3	1	1	0	1	17
pt interaction---leisure	107	62	35	19	2	5	4	3	2	2	2	1	21
pt interaction---other	117	63	50	17	3	6	1	2	3	4	0	1	16
pt interaction---pt interaction	1529	704	729	674	525	418	344	265	207	144	107	68	143
pt interaction---shop	121	47	42	26	2	3	1	1	4	1	1	1	15
pt interaction---work	307	181	102	47	2	3	0	1	0	0	2	1	8
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	752	195	86	62	79	59	19	14	8	8	3	3	28
shop---leisure	68	19	6	4	2	4	0	1	0	1	0	1	4
shop---other	52	18	9	11	5	4	0	2	0	2	0	0	6
shop---pt interaction	102	59	40	20	1	4	1	2	2	2	1	1	15
shop---shop	316	47	13	19	16	12	5	5	1	1	1	1	10
shop---work	54	9	3	1	3	5	0	1	1	1	0	1	5
work---education	4	3	2	0	1	2	0	0	0	0	0	0	0
work---home	642	524	256	88	74	81	40	30	21	15	10	8	69
work---leisure	93	47	13	11	9	6	8	1	4	2	0	1	8
work---other	123	88	50	20	14	21	12	10	9	0	1	2	5
work---pt interaction	294	166	120	59	0	3	0	0	0	0	2	0	6
work---shop	93	59	26	10	8	11	11	1	0	0	0	0	10
work---work	124	29	6	6	10	2	2	1	2	0	0	1	6

average trip duration: 923.7236296134528 seconds = 00:15:23
