pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	336	187	117	71	64	25	24	9	14	10	5	5	87
education---leisure	10	1	3	3	2	2	0	1	0	0	0	0	10
education---other	33	1	3	5	3	0	0	1	1	0	0	0	7
education---pt interaction	103	61	44	5	6	0	0	0	0	0	0	0	7
education---shop	12	6	2	1	1	1	1	1	0	2	0	0	0
education---work	5	1	0	2	0	1	1	1	0	0	0	1	0
home---education	391	208	99	59	74	33	25	12	13	9	4	3	83
home---home	8	2	0	0	0	0	0	0	0	0	0	0	0
home---leisure	442	174	34	26	52	44	32	17	13	12	14	14	50
home---other	623	279	64	65	37	58	36	29	8	9	8	10	36
home---pt interaction	437	285	151	49	3	3	3	2	2	0	0	4	21
home---shop	519	261	62	57	42	41	34	26	11	8	10	7	25
home---work	1137	566	43	81	103	78	50	28	23	17	9	9	79
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	570	111	40	41	100	67	29	23	11	7	8	3	36
leisure---leisure	87	27	3	4	1	7	1	3	1	0	0	0	3
leisure---other	83	17	2	10	1	7	0	0	0	0	1	0	1
leisure---pt interaction	43	33	27	9	2	3	3	0	1	1	0	1	10
leisure---shop	70	25	5	13	3	4	3	0	0	0	1	1	5
leisure---work	67	20	4	6	12	8	1	0	4	1	1	0	4
other---education	14	2	0	0	1	1	0	1	0	0	0	0	1
other---home	620	193	110	61	76	53	26	17	18	16	6	7	29
other---leisure	87	18	3	7	2	3	4	0	2	1	0	0	2
other---other	146	56	8	12	15	10	8	4	2	0	4	1	5
other---pt interaction	51	36	30	15	0	1	0	2	2	2	0	0	9
other---shop	128	25	10	12	5	5	0	1	0	0	1	1	3
other---work	222	58	2	14	18	15	11	7	5	3	1	0	6
pt interaction---education	96	91	25	16	2	0	0	0	0	0	0	0	18
pt interaction---home	382	263	145	50	0	3	3	2	0	0	0	2	19
pt interaction---leisure	59	39	18	18	1	4	2	3	0	1	0	1	9
pt interaction---other	69	46	28	7	1	4	1	0	2	3	0	1	8
pt interaction---pt interaction	1036	462	513	480	359	301	257	194	136	107	80	46	100
pt interaction---shop	78	33	25	16	2	2	0	0	1	0	1	0	7
pt interaction---work	238	131	74	30	1	3	0	1	0	0	2	1	5
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	766	208	100	71	77	56	26	12	14	14	4	4	26
shop---leisure	75	20	9	3	2	4	1	2	0	1	0	2	1
shop---other	62	19	7	6	2	4	0	3	1	1	0	0	6
shop---pt interaction	65	41	22	12	0	2	0	0	0	0	0	1	8
shop---shop	343	43	16	21	15	14	2	3	2	2	1	2	3
shop---work	56	10	3	1	3	5	0	1	3	0	1	0	4
work---education	5	3	1	0	1	2	0	0	0	0	0	0	0
work---home	674	582	246	88	77	67	34	29	21	17	15	19	109
work---leisure	91	51	19	10	9	1	8	6	3	2	0	0	8
work---other	129	91	55	18	14	16	9	4	5	4	0	4	17
work---pt interaction	229	121	93	41	0	3	0	0	0	0	1	0	5
work---shop	92	64	31	11	8	5	10	2	2	0	2	0	11
work---work	129	36	5	7	9	2	2	1	0	1	2	2	3

average trip duration: 906.6102568231221 seconds = 00:15:06
