pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	411	197	106	72	72	28	18	15	14	3	1	3	68
education---leisure	15	2	2	3	5	0	0	1	0	0	0	0	8
education---other	40	0	3	3	3	4	0	1	1	0	0	1	2
education---pt interaction	70	50	29	3	4	0	0	0	0	0	0	0	6
education---shop	19	6	1	1	0	2	0	0	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	492	205	87	65	80	40	21	12	9	7	3	3	60
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	486	129	18	33	58	62	29	16	11	7	4	1	39
home---other	608	245	50	60	49	67	42	14	4	3	3	2	41
home---pt interaction	515	384	205	73	0	0	3	1	1	2	0	1	12
home---shop	532	233	47	52	54	54	28	14	8	9	3	4	21
home---work	1086	485	42	81	126	102	33	25	16	9	5	6	51
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	0
leisure---home	581	95	27	36	112	52	9	18	10	3	3	0	51
leisure---leisure	92	23	1	7	4	6	1	1	0	0	0	0	3
leisure---other	81	13	4	8	2	5	0	0	0	0	1	2	2
leisure---pt interaction	66	45	29	15	2	5	3	2	1	1	0	0	19
leisure---shop	77	17	5	12	5	4	0	0	0	0	1	2	7
leisure---work	75	16	5	7	12	7	2	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	590	172	82	65	81	47	26	24	6	3	1	2	49
other---leisure	87	12	2	5	2	6	1	1	0	0	0	1	6
other---other	147	50	8	13	18	15	3	2	0	2	1	0	5
other---pt interaction	92	58	51	20	3	2	4	2	2	3	1	1	14
other---shop	121	22	7	10	8	7	2	0	0	0	2	1	4
other---work	217	49	2	15	33	14	8	2	1	0	0	0	12
pt interaction---education	63	61	14	16	1	0	0	0	0	0	0	0	23
pt interaction---home	517	334	197	58	0	0	3	1	1	2	0	1	10
pt interaction---leisure	74	45	33	16	2	6	4	2	2	1	0	1	17
pt interaction---other	105	56	58	18	2	3	3	2	2	5	0	3	19
pt interaction---pt interaction	1481	604	729	667	534	422	342	280	207	142	107	68	147
pt interaction---shop	113	41	46	26	2	4	0	2	4	2	1	1	11
pt interaction---work	304	193	99	51	3	4	1	1	0	0	2	0	9
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	782	196	68	62	87	45	19	16	6	7	4	4	27
shop---leisure	79	17	3	5	0	4	2	0	1	0	0	2	3
shop---other	55	13	7	10	4	5	2	2	0	1	1	1	5
shop---pt interaction	94	60	42	24	1	4	0	2	2	3	1	1	13
shop---shop	317	39	10	25	15	11	4	6	1	1	1	0	11
shop---work	55	10	1	1	3	5	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	675	525	215	80	90	101	44	28	22	13	11	9	47
work---leisure	101	39	16	11	9	5	8	2	2	2	0	1	6
work---other	112	92	47	17	17	24	10	4	10	1	0	2	7
work---pt interaction	291	179	113	68	1	4	0	1	0	0	1	0	6
work---shop	95	63	24	5	7	13	5	4	0	0	1	0	11
work---work	119	35	4	7	9	3	1	2	1	0	0	1	6

average trip duration: 875.5812006785161 seconds = 00:14:35
