pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	261	239	143	81	66	30	22	10	15	3	2	3	75
education---leisure	7	1	3	3	5	1	0	1	0	0	0	0	8
education---other	19	3	4	5	2	2	1	2	0	0	1	1	5
education---pt interaction	118	71	38	8	3	0	0	0	0	0	0	0	6
education---shop	10	6	3	1	0	2	0	1	0	2	0	1	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	316	277	127	66	86	33	22	11	11	5	3	3	59
home---home	8	2	0	0	0	0	0	0	0	0	0	0	0
home---leisure	392	155	22	28	36	54	32	24	17	7	5	3	42
home---other	555	268	49	60	43	73	42	15	6	6	2	3	43
home---pt interaction	637	426	231	86	1	1	4	2	2	2	0	3	18
home---shop	486	252	51	55	39	53	30	14	8	9	2	4	25
home---work	1058	541	38	81	100	90	35	19	16	8	5	5	51
leisure---education	4	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	491	106	33	37	85	58	14	20	9	6	4	2	67
leisure---leisure	76	26	4	5	1	8	2	1	1	0	1	0	5
leisure---other	71	17	3	9	1	7	0	0	0	0	1	2	3
leisure---pt interaction	90	66	42	23	6	5	5	3	1	4	2	1	26
leisure---shop	67	18	6	13	5	4	1	0	0	0	1	1	7
leisure---work	67	22	4	6	10	11	1	0	1	2	0	0	4
other---education	10	1	0	1	3	0	1	2	0	0	1	0	1
other---home	538	195	82	61	84	46	20	22	9	4	2	5	55
other---leisure	73	17	2	6	2	9	3	1	0	0	0	1	8
other---other	133	54	8	10	15	16	4	3	1	1	2	0	8
other---pt interaction	116	67	62	25	2	2	3	2	3	2	1	1	15
other---shop	112	25	7	12	7	8	1	0	0	0	2	1	5
other---work	211	57	1	14	33	12	8	2	2	0	0	0	9
pt interaction---education	96	83	21	19	1	0	0	0	0	0	0	0	23
pt interaction---home	624	386	235	71	0	1	3	3	1	2	0	1	17
pt interaction---leisure	116	67	43	20	4	7	7	4	2	3	2	1	25
pt interaction---other	129	72	65	21	3	6	2	2	3	4	0	2	19
pt interaction---pt interaction	1701	778	830	754	599	461	370	286	214	147	117	75	145
pt interaction---shop	138	52	51	32	2	4	1	1	4	1	1	1	16
pt interaction---work	318	193	111	53	3	3	0	0	0	0	2	1	8
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	726	202	80	63	75	55	21	11	7	7	6	5	30
shop---leisure	68	18	6	4	2	4	0	0	0	1	0	2	4
shop---other	49	18	7	10	4	5	0	2	0	1	0	2	5
shop---pt interaction	117	73	47	28	1	4	1	2	2	2	1	1	17
shop---shop	307	45	12	20	17	12	5	4	1	1	1	1	13
shop---work	55	9	1	1	3	5	0	1	1	1	0	1	5
work---education	5	3	2	0	1	2	0	0	0	0	0	0	0
work---home	646	504	272	81	70	83	43	26	20	12	10	8	54
work---leisure	94	45	16	8	10	8	5	1	4	2	0	1	8
work---other	123	82	57	14	16	17	8	12	7	1	0	2	6
work---pt interaction	309	177	126	67	1	3	0	0	0	0	2	0	6
work---shop	96	58	26	6	8	12	10	1	0	0	1	0	9
work---work	127	27	5	6	10	3	1	1	2	0	0	1	6

average trip duration: 915.4408541527185 seconds = 00:15:15
