pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---other	19	26	14	5	2	4	1	0	0	2	2	0	0
education---outside	0	0	0	0	1	0	0	0	0	0	0	0	0
home---education	33	16	6	5	6	1	1	0	0	1	1	1	2
home---leisure	218	52	34	21	5	4	7	5	8	30	37	6	20
home---other	66	50	49	32	19	18	13	8	9	3	8	3	54
home---outside	5	9	8	1	1	1	1	0	0	2	4	0	12
home---pt interaction	0	0	0	0	0	0	0	0	0	0	0	0	1
home---shop	66	33	23	16	10	6	4	2	3	2	5	2	34
home---work	25	30	35	16	15	19	24	9	19	15	3	4	305
leisure---home	217	63	42	24	9	7	4	3	6	30	41	5	18
leisure---outside	2	3	1	0	0	0	0	0	0	1	2	0	0
leisure---work	25	15	11	5	7	6	3	1	1	1	2	1	44
other---home	52	80	54	29	21	14	7	4	5	5	5	3	25
other---leisure	8	12	7	7	3	4	0	2	2	0	2	1	35
other---other	13	17	9	6	5	5	4	4	5	2	2	0	23
other---outside	2	1	4	2	1	0	1	0	0	0	0	0	0
other---shop	15	6	3	3	8	4	1	2	0	1	0	0	21
other---work	1	1	1	0	2	0	0	0	0	1	0	0	4
outside---education	0	0	0	0	0	1	0	0	0	2	0	0	0
outside---home	7	6	7	2	2	1	0	2	0	3	2	2	6
outside---leisure	2	3	1	0	0	0	0	0	0	1	0	1	0
outside---other	5	2	1	1	0	0	0	0	0	0	0	1	3
outside---outside	107	0	5	3	2	0	0	0	2	6	4	0	6
outside---pt interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
outside---shop	1	1	0	0	0	0	0	0	0	0	0	0	0
outside---work	0	0	2	4	2	0	1	0	0	0	0	0	14
pt interaction---home	0	0	1	0	0	1	0	0	0	0	0	0	1
pt interaction---pt interaction	0	0	0	0	0	0	1	1	0	0	0	0	3
pt interaction---work	0	0	1	1	0	0	0	0	0	0	0	0	0
shop---home	66	19	19	5	8	7	4	1	4	3	5	3	24
shop---leisure	7	3	7	5	3	1	1	0	1	1	0	0	1
shop---outside	2	1	0	0	0	0	0	0	0	0	0	0	0
shop---pt interaction	0	1	0	0	0	0	0	0	0	0	0	0	0
shop---work	8	10	2	3	2	0	0	0	1	0	0	0	33
work---home	19	38	25	20	28	28	21	23	25	10	4	4	244
work---leisure	10	11	5	3	2	4	2	0	0	0	1	0	14
work---other	6	14	7	8	11	8	6	5	2	4	3	2	37
work---outside	0	0	2	6	0	0	1	0	0	0	2	1	10
work---pt interaction	0	0	2	0	0	0	0	0	0	0	0	0	0

average trip duration: 5289.031188118812 seconds = 01:28:09
