pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	277	236	133	82	62	29	22	8	15	5	1	3	86
education---leisure	7	0	3	3	4	2	0	1	0	0	0	0	9
education---other	22	3	4	5	3	1	1	2	0	0	1	1	6
education---pt interaction	108	69	37	7	4	0	0	0	0	0	0	0	5
education---shop	10	8	2	1	1	1	1	1	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	328	267	124	65	83	32	24	11	11	5	2	3	68
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	408	155	28	27	38	56	41	18	19	10	5	3	38
home---other	567	280	50	62	36	76	44	18	7	7	2	2	38
home---pt interaction	586	378	213	80	2	2	4	2	2	1	0	3	19
home---shop	493	254	61	54	40	53	34	20	7	9	1	3	21
home---work	1076	545	38	81	103	90	37	17	18	10	5	5	63
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	510	102	40	39	90	65	13	23	8	5	5	1	64
leisure---leisure	77	26	4	4	1	8	2	1	1	0	1	0	5
leisure---other	72	18	2	10	1	7	0	0	0	0	1	2	3
leisure---pt interaction	82	54	38	19	4	5	5	2	1	2	2	1	21
leisure---shop	65	19	7	14	5	3	2	0	0	0	1	1	7
leisure---work	65	22	3	5	13	8	2	0	2	2	0	0	5
other---education	11	1	0	1	3	0	0	2	0	0	0	0	1
other---home	551	199	88	65	83	52	18	21	11	7	1	4	52
other---leisure	73	19	3	7	2	8	3	2	0	0	0	1	6
other---other	136	55	6	12	14	17	4	3	2	0	3	0	6
other---pt interaction	96	57	53	24	1	2	2	2	3	2	1	1	13
other---shop	118	28	5	15	5	8	2	0	0	0	1	1	5
other---work	213	58	1	14	32	14	9	2	2	0	0	0	8
pt interaction---education	95	80	22	19	1	0	0	0	0	0	0	0	23
pt interaction---home	553	346	210	64	0	3	3	3	1	1	0	1	18
pt interaction---leisure	107	61	36	19	2	6	4	3	2	2	2	1	21
pt interaction---other	114	63	49	15	3	6	1	2	3	4	0	1	16
pt interaction---pt interaction	1512	693	726	667	524	410	338	263	203	143	108	67	141
pt interaction---shop	117	47	42	26	1	3	1	1	4	1	1	0	15
pt interaction---work	302	181	103	43	2	3	0	1	0	0	2	1	8
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	750	196	89	65	79	61	18	14	9	6	5	3	27
shop---leisure	68	19	6	4	2	4	0	1	0	1	0	1	4
shop---other	53	18	9	11	5	3	0	3	0	2	0	0	6
shop---pt interaction	99	58	38	20	0	4	1	2	2	2	1	0	15
shop---shop	315	49	13	19	17	11	5	5	1	0	1	1	10
shop---work	54	9	3	1	4	5	0	1	1	1	0	1	5
work---education	4	3	2	0	1	2	0	0	0	0	0	0	0
work---home	642	518	264	86	75	82	39	31	21	14	12	8	69
work---leisure	93	45	15	11	9	6	8	1	4	2	0	1	8
work---other	119	89	52	21	14	20	13	10	10	0	1	2	6
work---pt interaction	286	166	120	61	0	3	0	0	0	0	2	0	6
work---shop	94	57	27	11	8	11	10	2	0	0	0	0	10
work---work	123	29	6	6	10	2	2	1	2	0	1	1	6

average trip duration: 925.9716863948561 seconds = 00:15:25
