pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	411	197	106	70	73	28	18	15	14	3	1	3	68
education---leisure	15	2	2	3	5	0	0	1	0	0	0	0	8
education---other	40	0	3	3	3	4	0	1	1	0	0	1	2
education---pt interaction	71	50	29	3	4	0	0	0	0	0	0	0	6
education---shop	19	6	1	1	0	2	0	0	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	492	205	88	64	80	40	21	13	9	7	3	3	60
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	485	128	17	34	57	62	29	16	11	7	4	1	40
home---other	607	244	50	59	51	64	42	14	4	3	3	2	41
home---pt interaction	521	385	206	73	0	0	3	1	1	2	0	1	12
home---shop	535	232	47	50	54	55	28	14	8	9	3	4	20
home---work	1087	484	42	80	127	100	33	25	16	9	5	6	50
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	0
leisure---home	581	94	27	36	113	51	9	18	10	3	3	0	53
leisure---leisure	91	22	1	8	4	6	1	1	0	0	0	0	3
leisure---other	81	12	4	8	2	5	0	0	0	0	1	2	2
leisure---pt interaction	66	46	30	15	2	5	3	2	1	1	0	0	19
leisure---shop	77	17	5	12	5	4	0	0	0	0	1	2	7
leisure---work	74	16	5	7	12	7	2	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	588	171	83	64	82	45	27	24	6	3	1	2	49
other---leisure	87	12	2	5	2	6	1	1	0	0	0	1	6
other---other	147	50	8	13	17	15	5	1	0	2	1	0	5
other---pt interaction	94	59	53	20	3	2	4	2	2	3	1	1	14
other---shop	121	22	7	10	8	7	2	0	0	0	2	1	4
other---work	216	49	2	15	32	14	8	2	1	0	0	0	12
pt interaction---education	64	60	13	16	1	0	0	0	0	0	0	0	23
pt interaction---home	521	335	197	58	0	0	3	1	1	2	0	1	10
pt interaction---leisure	74	47	35	16	2	6	4	2	2	1	0	1	17
pt interaction---other	111	57	59	18	2	3	3	2	2	5	0	3	19
pt interaction---pt interaction	1504	613	741	675	535	425	344	282	207	143	109	68	149
pt interaction---shop	113	41	47	26	2	4	0	2	4	2	1	1	11
pt interaction---work	307	196	99	51	3	4	1	1	0	0	2	0	9
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	787	192	68	59	89	46	19	17	5	7	4	4	27
shop---leisure	79	17	3	5	0	3	2	0	1	0	0	2	4
shop---other	55	13	7	9	4	5	2	2	0	1	1	1	5
shop---pt interaction	94	60	43	24	1	4	0	2	2	3	1	1	13
shop---shop	317	39	10	24	16	11	4	6	1	1	1	0	11
shop---work	56	10	1	1	2	5	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	676	526	214	79	91	102	41	28	22	13	11	9	46
work---leisure	101	38	16	11	9	5	8	2	2	2	0	1	6
work---other	112	92	46	17	17	23	11	4	10	0	0	2	7
work---pt interaction	292	182	115	68	1	4	0	1	0	0	1	0	6
work---shop	97	61	24	5	6	13	5	4	0	0	1	0	11
work---work	119	35	4	7	9	3	1	2	1	0	0	1	6

average trip duration: 873.9261954644026 seconds = 00:14:33
