pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	318	200	127	75	62	26	22	8	16	8	5	3	86
education---leisure	9	1	3	3	3	3	0	1	0	0	0	0	9
education---other	28	1	3	6	3	0	0	2	1	0	1	0	6
education---pt interaction	106	66	40	6	6	0	0	0	0	0	0	0	7
education---shop	10	6	2	1	1	1	1	1	0	2	0	0	0
education---work	5	0	0	2	0	2	0	1	0	0	0	1	0
home---education	371	223	112	62	74	37	21	11	11	7	4	3	77
home---home	8	2	0	0	0	0	0	0	0	0	0	0	0
home---leisure	440	149	35	30	46	56	40	18	21	10	8	6	28
home---other	615	262	66	63	38	68	45	25	12	8	7	5	23
home---pt interaction	488	327	179	64	3	2	4	2	1	1	0	4	19
home---shop	523	245	65	54	35	54	33	25	13	9	6	4	17
home---work	1128	538	46	82	104	88	46	26	15	12	9	8	70
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	553	99	41	44	97	68	22	20	10	5	6	0	41
leisure---leisure	88	23	4	4	1	7	2	2	0	0	0	0	5
leisure---other	78	17	2	10	1	7	0	0	0	0	1	2	2
leisure---pt interaction	61	42	32	14	3	3	3	0	1	2	2	1	14
leisure---shop	68	23	8	13	3	4	3	0	0	0	1	1	5
leisure---work	64	20	5	6	15	6	1	1	4	1	0	0	4
other---education	11	1	0	0	3	1	0	2	0	0	0	0	1
other---home	596	187	106	60	85	50	21	27	13	10	3	7	36
other---leisure	83	18	3	7	3	5	2	3	0	0	0	1	3
other---other	144	54	10	11	16	14	6	4	2	0	3	1	4
other---pt interaction	67	44	39	18	1	3	0	2	2	2	0	0	10
other---shop	124	25	11	12	5	7	1	0	1	0	0	1	3
other---work	224	53	4	14	24	15	12	6	3	0	0	0	4
pt interaction---education	99	85	26	18	2	0	0	0	0	0	0	0	21
pt interaction---home	452	297	171	57	0	3	4	2	0	1	0	2	17
pt interaction---leisure	82	48	24	21	1	4	2	2	0	2	2	1	14
pt interaction---other	83	53	39	8	2	4	0	0	2	3	0	1	12
pt interaction---pt interaction	1226	561	599	553	417	351	295	227	157	126	89	55	115
pt interaction---shop	93	39	30	19	1	2	1	1	1	0	1	0	11
pt interaction---work	263	148	88	37	1	3	0	1	0	0	2	1	6
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	763	195	106	65	78	65	21	11	13	9	7	4	21
shop---leisure	71	21	9	1	2	4	2	3	0	1	0	0	1
shop---other	63	14	9	8	3	4	0	2	1	1	1	0	5
shop---pt interaction	76	50	27	14	0	3	1	1	0	0	1	1	12
shop---shop	333	46	15	20	16	13	2	5	1	2	0	1	4
shop---work	56	10	3	1	3	6	1	0	2	0	1	0	4
work---education	4	2	2	0	1	2	0	0	0	0	0	0	0
work---home	680	483	311	81	87	76	36	33	17	17	14	15	82
work---leisure	99	38	18	11	10	3	11	3	2	2	0	2	6
work---other	125	79	62	20	14	19	10	5	6	5	4	1	13
work---pt interaction	261	131	103	48	0	3	0	0	0	0	2	0	6
work---shop	92	63	32	10	7	8	10	2	2	0	2	0	10
work---work	127	32	6	6	9	3	2	1	1	1	1	1	3

average trip duration: 897.4323760194812 seconds = 00:14:57
