pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	419	192	107	73	68	32	18	12	13	3	1	3	65
education---leisure	15	2	2	4	3	1	0	1	0	0	0	0	8
education---other	40	0	3	3	4	3	0	1	1	0	0	1	2
education---pt interaction	76	49	25	3	4	0	0	0	0	0	0	0	8
education---shop	20	4	1	1	0	2	0	0	0	2	0	0	0
education---work	5	2	0	2	0	2	0	1	0	0	0	0	0
home---education	499	201	87	62	77	38	18	8	9	8	2	3	58
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	497	112	18	32	59	60	29	9	12	6	4	1	41
home---other	613	227	47	61	54	65	37	11	6	3	2	2	44
home---pt interaction	555	424	209	80	0	0	3	2	1	4	0	1	10
home---shop	550	210	41	52	55	51	24	13	8	8	4	4	22
home---work	1107	454	33	82	128	103	27	24	17	9	5	4	44
leisure---education	5	0	0	2	1	0	0	0	0	0	0	0	0
leisure---home	576	85	29	37	113	53	5	18	10	3	2	0	52
leisure---leisure	93	21	1	8	5	5	1	0	0	0	0	0	3
leisure---other	83	10	4	8	3	3	0	0	0	0	1	2	2
leisure---pt interaction	63	52	37	18	3	6	3	3	1	1	0	0	20
leisure---shop	76	17	5	13	5	4	1	0	0	0	1	1	7
leisure---work	71	17	5	6	12	8	1	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	593	149	91	67	82	49	21	21	8	3	1	3	50
other---leisure	85	11	1	5	3	4	1	1	0	0	0	1	6
other---other	153	42	9	12	15	16	5	1	0	3	1	0	5
other---pt interaction	103	62	58	22	3	3	4	2	2	3	2	1	16
other---shop	120	18	8	11	7	8	2	0	0	0	2	1	5
other---work	214	48	3	14	29	15	8	2	1	0	0	0	12
pt interaction---education	72	60	13	20	1	0	0	0	0	0	0	0	25
pt interaction---home	554	351	207	65	0	0	3	2	1	4	0	1	9
pt interaction---leisure	77	50	40	18	3	7	4	3	2	1	0	1	18
pt interaction---other	118	58	63	22	2	4	3	2	2	5	0	3	21
pt interaction---pt interaction	1639	647	801	707	581	453	378	302	222	155	111	72	157
pt interaction---shop	122	48	48	27	2	5	0	3	4	3	1	1	12
pt interaction---work	323	201	105	56	3	3	1	1	0	1	2	0	11
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	794	171	71	63	89	45	16	16	5	7	5	4	29
shop---leisure	78	17	3	6	0	3	1	0	1	0	0	2	4
shop---other	57	9	7	11	3	7	1	3	1	1	1	1	5
shop---pt interaction	97	60	45	26	1	5	0	3	3	4	1	1	14
shop---shop	314	39	10	24	17	11	5	4	2	1	1	0	11
shop---work	56	9	1	1	4	4	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	692	486	222	77	90	99	41	23	28	14	8	8	39
work---leisure	101	35	17	10	8	7	9	4	1	2	0	1	6
work---other	110	91	46	19	18	21	10	4	9	0	1	1	8
work---pt interaction	306	185	121	74	1	3	0	1	0	1	1	0	8
work---shop	99	52	30	6	10	12	5	3	1	0	1	0	10
work---work	124	31	6	5	9	3	1	1	1	0	0	1	7

average trip duration: 870.6241012366983 seconds = 00:14:30
