pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	419	192	106	73	68	32	18	12	13	3	1	3	65
education---leisure	15	2	2	4	3	1	0	1	0	0	0	0	8
education---other	40	0	3	3	4	3	0	1	1	0	0	1	2
education---pt interaction	77	49	25	3	4	0	0	0	0	0	0	0	8
education---shop	20	4	1	1	0	2	0	0	0	2	0	0	0
education---work	5	2	0	2	0	2	0	1	0	0	0	0	0
home---education	499	201	87	61	78	38	17	9	9	8	2	3	58
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	499	111	18	33	59	60	29	8	13	5	4	1	41
home---other	614	228	47	62	53	66	37	11	6	3	2	2	43
home---pt interaction	553	424	208	80	0	0	3	2	1	4	0	1	10
home---shop	549	212	41	51	56	51	24	13	8	8	4	4	22
home---work	1105	455	33	81	130	102	29	23	16	9	5	4	44
leisure---education	5	0	0	2	1	0	0	0	0	0	0	0	0
leisure---home	578	84	29	37	113	53	5	18	10	3	2	0	52
leisure---leisure	93	21	1	8	5	5	1	0	0	0	0	0	3
leisure---other	83	10	4	8	3	3	0	0	0	0	1	2	2
leisure---pt interaction	61	52	37	18	3	6	3	3	1	1	0	0	20
leisure---shop	76	17	5	14	5	4	1	0	0	0	1	1	7
leisure---work	71	17	5	6	12	8	1	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	594	149	92	67	82	48	21	21	8	3	1	3	49
other---leisure	85	11	1	5	3	4	1	1	0	0	0	1	6
other---other	153	42	9	12	15	16	5	1	0	3	1	0	5
other---pt interaction	102	62	57	23	3	3	4	2	2	3	2	1	16
other---shop	120	18	8	11	8	7	2	0	0	0	2	1	5
other---work	216	47	3	14	29	16	7	2	1	0	0	0	12
pt interaction---education	72	60	13	20	1	0	0	0	0	0	0	0	25
pt interaction---home	553	352	204	65	0	0	3	2	1	4	0	1	9
pt interaction---leisure	76	51	39	18	3	7	4	3	2	1	0	1	18
pt interaction---other	116	57	63	22	2	4	3	2	2	5	0	3	21
pt interaction---pt interaction	1633	644	800	706	578	452	376	303	222	153	112	72	158
pt interaction---shop	122	48	47	26	2	5	0	3	4	3	1	1	12
pt interaction---work	323	202	104	56	3	3	1	1	0	1	2	0	11
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	792	174	71	63	90	45	17	16	5	7	5	4	29
shop---leisure	78	17	3	6	0	3	1	0	1	0	0	2	4
shop---other	57	9	7	11	3	7	1	3	1	1	1	1	5
shop---pt interaction	96	59	44	26	1	5	0	3	3	4	1	1	14
shop---shop	314	39	10	24	17	11	5	4	2	1	1	0	11
shop---work	56	9	1	1	4	4	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	692	486	222	76	90	99	41	24	28	14	7	9	39
work---leisure	101	35	17	10	8	7	9	4	1	2	0	1	6
work---other	111	91	46	19	17	22	10	4	9	0	1	1	8
work---pt interaction	306	184	120	75	1	3	0	1	0	1	1	0	8
work---shop	99	52	30	6	10	12	5	3	1	0	1	0	10
work---work	123	31	6	6	9	3	1	1	1	0	0	1	7

average trip duration: 870.1660609549855 seconds = 00:14:30
