pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	418	192	106	71	69	34	18	11	14	3	1	3	65
education---leisure	15	2	2	4	3	1	0	1	0	0	0	0	8
education---other	40	0	3	3	3	4	0	1	1	0	0	1	2
education---pt interaction	75	50	26	3	4	0	0	0	0	0	0	0	8
education---shop	20	4	1	1	0	2	0	0	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	494	206	87	61	76	41	17	10	9	8	2	3	58
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	495	115	18	32	60	60	27	12	12	6	4	1	39
home---other	613	234	48	62	53	66	37	13	5	3	2	2	43
home---pt interaction	546	422	210	79	0	0	3	2	1	4	0	1	11
home---shop	547	213	43	52	55	51	23	13	9	8	4	4	20
home---work	1097	462	34	78	129	103	32	22	15	9	5	4	44
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	0
leisure---home	578	84	29	36	114	54	5	18	9	4	2	0	52
leisure---leisure	92	21	1	8	5	6	1	1	0	0	0	0	3
leisure---other	84	10	4	8	3	3	0	0	0	0	1	2	2
leisure---pt interaction	63	51	35	17	3	6	3	3	1	1	0	0	20
leisure---shop	77	17	5	13	5	4	0	0	0	0	1	1	7
leisure---work	72	17	5	7	11	8	2	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	593	153	93	65	81	50	22	21	7	3	1	3	49
other---leisure	86	11	1	5	3	4	1	2	0	0	0	1	6
other---other	151	44	9	12	15	17	5	1	0	3	1	0	5
other---pt interaction	98	61	56	23	3	2	4	2	2	3	2	1	15
other---shop	120	20	8	10	8	7	3	0	0	0	2	1	5
other---work	215	48	3	14	30	14	8	2	1	0	0	0	12
pt interaction---education	72	61	13	18	1	0	0	0	0	0	0	0	25
pt interaction---home	549	353	203	62	0	0	3	2	1	4	0	1	10
pt interaction---leisure	74	51	39	18	3	7	4	3	2	1	0	1	18
pt interaction---other	111	56	61	22	2	3	3	2	2	5	0	3	20
pt interaction---pt interaction	1617	640	792	699	576	453	369	297	221	153	112	71	155
pt interaction---shop	121	48	48	26	2	5	0	3	4	3	1	1	12
pt interaction---work	318	203	107	57	3	3	1	1	0	1	2	0	10
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	792	175	72	63	87	47	16	15	5	8	5	4	26
shop---leisure	78	17	3	6	0	3	1	0	1	0	0	2	4
shop---other	55	12	7	11	3	7	2	2	1	1	1	1	5
shop---pt interaction	95	60	45	26	1	5	0	3	3	4	1	1	14
shop---shop	313	40	11	25	16	11	5	4	2	1	1	0	11
shop---work	55	10	1	1	4	4	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	693	487	221	74	92	99	42	25	28	13	8	8	40
work---leisure	101	35	17	10	9	6	9	3	1	2	0	1	6
work---other	111	91	46	19	17	23	9	4	9	0	1	1	8
work---pt interaction	303	185	120	76	1	3	0	1	0	1	1	0	7
work---shop	96	55	30	6	8	13	5	4	0	0	1	0	10
work---work	122	32	6	6	9	3	1	1	1	0	0	1	7

average trip duration: 867.7001010246789 seconds = 00:14:27
