pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	336	186	114	70	64	23	22	9	16	8	7	5	92
education---leisure	11	1	3	3	2	1	0	2	0	0	0	0	10
education---other	34	1	3	5	3	0	0	1	1	0	0	0	7
education---pt interaction	102	61	42	5	7	0	0	0	0	0	0	0	8
education---shop	13	6	2	1	1	1	1	1	0	2	0	0	0
education---work	5	1	0	1	1	0	1	2	0	0	0	1	0
home---education	393	207	98	59	70	34	22	14	12	9	5	3	85
home---home	8	2	0	0	0	0	0	0	0	0	0	0	0
home---leisure	440	177	32	28	50	44	34	18	11	10	11	8	67
home---other	623	290	64	65	36	55	36	27	17	7	5	9	43
home---pt interaction	408	269	146	47	3	3	4	0	2	0	1	4	22
home---shop	526	269	56	56	41	42	30	25	15	6	9	5	32
home---work	1136	585	37	77	101	79	50	32	23	20	10	11	85
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	570	112	41	41	100	65	34	22	11	7	10	4	36
leisure---leisure	88	26	3	4	1	6	3	3	2	0	0	0	3
leisure---other	85	18	2	10	1	7	0	0	0	0	1	0	0
leisure---pt interaction	39	30	25	9	2	2	2	0	1	1	0	1	9
leisure---shop	70	25	5	13	4	3	4	0	0	0	1	1	5
leisure---work	67	20	5	5	12	6	3	0	3	2	1	0	4
other---education	15	2	0	0	1	1	0	1	0	0	0	0	1
other---home	625	199	111	61	70	47	27	19	17	13	11	12	31
other---leisure	87	18	4	7	2	3	3	1	1	1	0	1	2
other---other	151	55	9	13	13	12	3	6	2	1	1	3	5
other---pt interaction	45	30	25	13	0	1	0	2	1	2	0	0	9
other---shop	130	28	10	11	5	4	0	2	0	0	0	2	2
other---work	223	60	2	14	18	10	11	10	4	4	2	1	5
pt interaction---education	100	90	23	16	2	0	0	0	0	0	0	0	19
pt interaction---home	359	244	135	48	0	3	3	1	0	0	1	2	21
pt interaction---leisure	57	35	16	18	1	3	1	3	0	1	0	1	7
pt interaction---other	62	39	21	6	1	4	1	0	1	3	0	1	8
pt interaction---pt interaction	960	428	470	446	331	290	231	185	128	109	77	45	100
pt interaction---shop	73	29	22	12	2	1	0	0	1	0	1	0	5
pt interaction---work	227	121	69	28	1	3	0	1	0	0	1	1	5
shop---education	2	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	778	215	100	68	76	51	26	16	12	13	8	5	27
shop---leisure	78	18	9	3	3	2	2	3	0	1	0	0	2
shop---other	63	20	7	6	2	4	0	3	1	1	0	0	5
shop---pt interaction	60	36	18	9	0	2	0	0	0	0	0	1	7
shop---shop	342	50	12	23	13	13	1	4	2	0	2	2	5
shop---work	56	10	3	1	3	5	0	0	4	0	1	0	4
work---education	4	4	1	0	1	1	1	0	0	0	0	0	0
work---home	679	582	250	85	78	64	36	25	21	23	12	20	124
work---leisure	89	55	18	10	9	1	7	5	2	4	1	0	8
work---other	120	97	58	18	14	16	9	3	6	2	3	2	19
work---pt interaction	219	114	86	35	0	3	0	0	0	0	0	0	5
work---shop	93	66	32	11	9	4	7	3	2	1	3	0	11
work---work	129	39	5	7	7	5	2	1	0	1	1	3	3

average trip duration: 914.0213575549282 seconds = 00:15:14
