pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	252	246	140	82	67	31	22	12	14	3	2	3	75
education---leisure	7	1	3	3	5	1	0	1	0	0	0	0	8
education---other	19	3	4	5	2	3	1	2	0	0	1	1	4
education---pt interaction	119	70	38	8	3	0	0	0	0	0	0	0	7
education---shop	11	5	3	1	0	2	0	1	0	2	0	1	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	311	280	126	68	85	35	20	12	11	5	3	3	59
home---home	8	2	0	0	0	0	0	0	0	0	0	0	0
home---leisure	392	154	22	27	35	55	31	23	17	7	5	3	43
home---other	560	267	47	60	44	74	41	14	6	5	2	3	43
home---pt interaction	645	430	236	88	1	1	4	2	2	2	0	2	18
home---shop	489	249	51	55	39	53	30	13	8	9	2	4	25
home---work	1059	525	37	81	103	92	32	19	17	8	5	5	50
leisure---education	4	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	489	106	32	36	84	59	14	18	10	6	4	2	68
leisure---leisure	76	26	4	5	1	8	2	1	1	0	1	0	5
leisure---other	71	16	3	9	1	7	0	0	0	0	1	2	3
leisure---pt interaction	91	67	44	23	6	6	5	3	1	4	2	1	26
leisure---shop	67	18	6	13	5	4	1	0	0	0	1	1	7
leisure---work	68	21	4	6	11	10	1	0	1	2	0	0	4
other---education	10	1	0	1	3	0	1	2	0	0	1	0	1
other---home	540	196	81	61	83	45	21	23	8	4	2	5	54
other---leisure	75	15	3	5	2	9	3	1	0	0	0	1	8
other---other	136	51	8	10	15	16	5	1	2	1	2	0	8
other---pt interaction	115	67	62	26	2	2	3	2	3	2	1	1	15
other---shop	113	24	7	12	7	8	1	0	0	0	2	1	5
other---work	217	51	1	14	33	14	6	2	2	0	0	0	9
pt interaction---education	97	83	20	19	1	0	0	0	0	0	0	0	24
pt interaction---home	637	389	237	71	0	1	3	3	1	2	0	1	17
pt interaction---leisure	119	66	45	20	4	8	7	4	2	3	2	1	25
pt interaction---other	126	72	66	22	3	6	2	2	3	4	0	2	19
pt interaction---pt interaction	1719	780	849	771	609	466	375	294	215	147	115	77	150
pt interaction---shop	140	53	51	33	2	4	1	1	4	1	1	1	16
pt interaction---work	326	195	112	53	4	3	1	0	0	0	2	1	8
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	728	200	79	63	76	52	22	11	7	8	5	5	29
shop---leisure	68	18	6	4	2	4	0	0	0	1	0	2	4
shop---other	50	17	7	10	4	5	0	2	0	1	0	2	5
shop---pt interaction	120	73	47	29	1	4	1	2	2	2	1	1	17
shop---shop	306	45	11	20	17	12	5	4	1	1	1	1	13
shop---work	56	9	1	1	3	5	0	1	1	1	0	1	5
work---education	5	3	2	0	1	2	0	0	0	0	0	0	0
work---home	638	501	271	79	74	84	42	27	23	12	9	8	51
work---leisure	93	47	13	8	10	8	6	0	4	2	0	1	8
work---other	124	83	56	14	16	19	6	11	8	1	0	2	6
work---pt interaction	317	178	126	69	1	3	0	1	0	0	2	0	6
work---shop	97	58	26	5	8	13	8	0	0	0	1	0	10
work---work	128	25	6	6	10	3	1	1	2	0	0	1	6

average trip duration: 914.1284857413449 seconds = 00:15:14
