pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	329	193	124	75	63	25	22	10	16	8	5	3	86
education---leisure	10	1	3	3	2	2	0	1	0	0	0	0	10
education---other	31	1	3	6	3	0	0	1	1	0	0	0	7
education---pt interaction	102	63	40	5	6	0	0	0	0	0	0	0	7
education---shop	12	6	2	1	1	1	1	1	0	2	0	0	0
education---work	5	1	0	2	0	2	0	1	0	0	0	1	0
home---education	387	216	102	63	74	37	23	13	10	7	4	3	80
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	454	158	27	31	45	47	37	23	18	12	11	6	33
home---other	624	270	64	63	36	61	46	26	11	14	4	5	23
home---pt interaction	463	306	171	55	3	2	2	2	1	0	0	4	20
home---shop	523	254	60	56	38	48	27	28	12	13	8	2	18
home---work	1147	545	40	81	102	90	43	27	20	13	10	8	76
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	573	98	42	44	94	69	25	19	11	7	6	1	38
leisure---leisure	87	26	3	4	0	8	1	3	0	0	0	0	4
leisure---other	81	17	3	10	1	7	0	0	0	0	1	1	1
leisure---pt interaction	54	35	30	12	2	3	3	0	1	1	1	1	12
leisure---shop	68	24	6	13	4	3	3	0	0	0	1	1	5
leisure---work	65	21	4	6	14	6	1	0	5	1	0	0	4
other---education	14	1	0	0	2	1	0	1	0	0	0	0	1
other---home	611	187	107	57	87	54	23	22	18	9	4	5	30
other---leisure	86	19	2	7	3	4	3	2	1	0	0	0	2
other---other	145	54	9	11	16	14	7	4	2	0	2	1	4
other---pt interaction	59	40	36	16	0	3	0	2	2	2	0	0	8
other---shop	127	26	10	11	5	6	1	0	1	0	0	1	3
other---work	224	56	1	15	22	13	12	4	8	1	0	0	6
pt interaction---education	94	85	26	16	2	0	0	0	0	0	0	0	20
pt interaction---home	414	280	163	52	0	3	2	2	0	0	0	2	17
pt interaction---leisure	74	42	20	19	1	4	2	3	0	1	1	1	12
pt interaction---other	81	50	33	7	1	4	0	0	2	3	0	1	10
pt interaction---pt interaction	1130	527	548	513	383	324	276	211	144	109	80	48	114
pt interaction---shop	91	36	28	17	1	2	1	1	1	0	1	0	10
pt interaction---work	245	139	80	32	1	3	0	1	0	0	2	1	6
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	767	200	99	67	81	62	21	13	10	10	6	3	25
shop---leisure	73	20	10	2	2	4	2	2	1	1	0	0	1
shop---other	63	16	8	7	2	5	0	2	1	1	0	1	5
shop---pt interaction	70	48	25	12	0	2	1	1	0	0	1	1	11
shop---shop	340	43	14	21	16	13	1	4	3	2	0	1	4
shop---work	56	10	3	1	3	5	1	1	2	0	1	0	4
work---education	4	3	2	0	1	2	0	0	0	0	0	0	0
work---home	687	527	274	82	84	74	38	33	21	14	11	17	97
work---leisure	99	42	17	11	10	2	12	3	2	2	0	1	7
work---other	123	88	58	18	16	16	10	5	5	2	3	5	14
work---pt interaction	246	128	94	40	0	3	0	0	0	0	1	0	6
work---shop	93	63	30	11	8	7	9	2	1	0	1	2	10
work---work	129	36	5	6	9	3	2	1	0	2	1	1	3

average trip duration: 896.8443321755605 seconds = 00:14:56
