pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	412	197	106	69	71	29	18	13	13	3	1	3	67
education---leisure	15	2	2	3	5	0	0	1	0	0	0	0	8
education---other	40	0	3	3	3	4	0	1	1	0	0	1	2
education---pt interaction	74	50	29	3	4	0	0	0	0	0	0	0	8
education---shop	19	6	1	1	0	2	0	0	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	495	203	88	63	79	39	21	12	10	7	2	3	59
home---home	10	0	0	0	0	0	0	0	0	0	0	0	0
home---leisure	489	122	17	33	58	64	29	13	12	8	3	1	40
home---other	611	242	46	60	51	66	42	13	5	2	3	2	42
home---pt interaction	527	395	208	78	0	0	3	1	1	2	0	1	12
home---shop	536	228	46	52	53	54	26	14	8	9	4	4	21
home---work	1101	464	36	79	127	104	30	26	16	9	4	5	49
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	0
leisure---home	581	90	27	35	114	51	7	18	10	3	3	0	53
leisure---leisure	92	21	1	8	4	6	1	1	0	0	0	0	3
leisure---other	83	11	3	8	2	5	0	0	0	0	1	2	2
leisure---pt interaction	67	48	31	16	2	6	3	2	1	1	0	0	19
leisure---shop	77	17	5	12	5	4	0	0	0	0	1	2	7
leisure---work	73	17	5	7	12	7	2	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	588	169	81	64	80	47	27	21	8	2	1	2	48
other---leisure	86	12	2	5	3	4	2	1	0	0	0	1	6
other---other	148	49	8	12	17	16	5	1	0	2	1	0	5
other---pt interaction	94	62	56	22	3	2	4	2	2	3	1	1	14
other---shop	122	21	7	10	8	7	2	0	0	0	2	1	4
other---work	216	51	1	15	30	14	8	2	1	0	0	0	12
pt interaction---education	67	59	13	16	1	0	0	0	0	0	0	0	25
pt interaction---home	530	345	204	60	0	0	3	1	1	2	0	1	10
pt interaction---leisure	75	49	36	15	2	7	4	2	2	1	0	1	17
pt interaction---other	110	56	60	20	2	3	3	2	2	5	0	3	19
pt interaction---pt interaction	1555	628	752	693	556	441	351	287	213	150	111	66	154
pt interaction---shop	115	42	48	27	2	4	0	2	4	3	1	1	12
pt interaction---work	314	198	104	53	3	4	1	1	0	0	2	0	10
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	784	189	69	60	88	46	17	17	6	7	5	4	27
shop---leisure	80	17	2	5	0	3	2	0	1	0	0	2	4
shop---other	54	13	7	10	3	6	2	2	0	1	1	1	5
shop---pt interaction	92	61	46	25	1	4	0	3	2	4	1	1	14
shop---shop	317	38	11	25	14	10	5	6	1	1	1	0	11
shop---work	55	10	1	1	3	5	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	678	522	207	81	91	101	44	27	24	13	9	9	45
work---leisure	101	37	16	11	9	5	8	3	1	2	0	1	6
work---other	111	92	45	17	18	22	11	4	10	0	0	2	7
work---pt interaction	296	187	116	71	1	4	0	1	0	0	1	0	7
work---shop	95	60	25	6	6	12	5	4	0	0	1	0	11
work---work	119	34	5	6	8	3	1	1	1	0	0	1	7

average trip duration: 873.650515877356 seconds = 00:14:33
