pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	415	195	109	72	68	30	20	12	13	3	1	3	65
education---leisure	15	2	2	4	3	1	0	1	0	0	0	0	8
education---other	40	0	3	3	4	3	0	1	1	0	0	1	2
education---pt interaction	78	47	25	3	4	0	0	0	0	0	0	0	8
education---shop	20	4	1	1	0	2	0	0	0	2	0	0	0
education---work	5	2	0	2	0	2	0	1	0	0	0	0	0
home---education	497	204	86	60	77	34	19	8	10	8	2	3	58
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	500	110	18	31	58	63	26	13	9	3	5	1	41
home---other	615	225	46	62	55	67	34	13	5	3	2	2	45
home---pt interaction	568	425	210	79	0	0	3	1	1	4	0	1	10
home---shop	542	214	41	53	56	49	24	13	8	8	4	4	22
home---work	1108	454	29	80	130	102	29	25	17	9	4	3	43
leisure---education	5	0	0	2	1	0	0	0	0	0	0	0	0
leisure---home	578	84	29	36	114	53	6	19	9	3	2	0	52
leisure---leisure	93	21	1	8	5	5	1	0	0	0	0	0	3
leisure---other	83	10	4	8	3	3	0	0	0	0	1	2	2
leisure---pt interaction	64	51	37	18	2	6	3	3	1	1	0	0	20
leisure---shop	76	17	5	13	5	4	1	0	0	0	1	1	7
leisure---work	71	18	6	6	11	8	1	0	0	1	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	589	150	89	66	83	50	21	20	9	3	1	3	51
other---leisure	85	11	1	5	3	4	1	1	0	0	0	1	6
other---other	152	43	9	12	15	16	4	2	0	3	1	0	5
other---pt interaction	104	60	60	23	3	3	4	2	2	3	2	1	16
other---shop	120	19	8	11	6	8	2	0	0	0	2	1	5
other---work	216	48	2	14	31	12	8	2	1	0	0	0	13
pt interaction---education	75	62	12	20	1	0	0	0	0	0	0	0	25
pt interaction---home	553	357	210	65	0	0	3	1	1	4	0	1	9
pt interaction---leisure	79	52	40	19	2	7	4	3	2	1	0	1	18
pt interaction---other	116	60	62	22	2	4	3	2	2	5	0	3	21
pt interaction---pt interaction	1648	654	808	709	589	457	379	302	224	156	116	72	159
pt interaction---shop	126	50	48	27	2	5	0	3	4	2	1	1	12
pt interaction---work	320	203	107	56	4	3	1	1	0	1	2	0	12
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	788	174	74	64	88	46	16	16	4	7	5	4	29
shop---leisure	78	17	3	6	0	3	1	0	1	0	0	2	4
shop---other	57	8	7	13	3	7	0	3	1	1	1	1	5
shop---pt interaction	99	61	44	26	1	5	0	3	3	3	1	1	14
shop---shop	314	39	10	26	16	10	6	4	2	1	1	0	11
shop---work	56	9	1	1	4	4	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	692	485	221	74	91	100	44	21	28	13	6	9	37
work---leisure	102	34	18	10	8	7	9	4	0	2	0	1	5
work---other	109	93	45	17	19	21	10	4	9	0	1	1	8
work---pt interaction	308	187	122	75	2	3	0	1	0	1	1	0	8
work---shop	100	52	29	6	10	11	6	3	1	0	1	0	10
work---work	125	31	6	5	9	3	1	1	1	0	0	1	6

average trip duration: 869.3412097959769 seconds = 00:14:29
