pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	419	192	105	71	67	33	19	10	14	3	1	3	65
education---leisure	15	2	2	4	3	1	0	1	0	0	0	0	8
education---other	40	0	3	3	4	3	0	1	1	0	0	1	2
education---pt interaction	78	51	25	3	4	0	0	0	0	0	0	0	8
education---shop	20	4	1	1	0	2	0	0	0	2	0	0	0
education---work	5	2	0	2	0	2	0	1	0	0	0	0	0
home---education	499	201	88	62	77	38	18	8	9	8	2	3	58
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	497	112	18	32	59	60	28	11	12	7	3	1	40
home---other	615	231	48	61	54	66	36	13	5	3	2	2	43
home---pt interaction	548	423	210	79	0	0	3	2	1	4	0	1	10
home---shop	546	214	42	52	54	51	23	13	9	8	4	4	21
home---work	1105	456	33	80	131	101	31	23	16	9	5	4	44
leisure---education	5	0	0	2	1	0	0	0	0	0	0	0	0
leisure---home	577	84	29	37	113	55	5	18	9	4	2	0	52
leisure---leisure	92	21	1	8	5	5	1	1	0	0	0	0	3
leisure---other	83	10	4	8	3	3	0	0	0	0	1	2	2
leisure---pt interaction	63	51	36	17	3	6	3	3	1	1	0	0	20
leisure---shop	76	17	5	13	5	4	1	0	0	0	1	1	7
leisure---work	72	17	5	7	11	8	2	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	593	153	92	66	80	52	21	21	7	3	1	3	49
other---leisure	85	11	1	5	3	5	1	1	0	0	0	1	6
other---other	153	42	9	12	15	17	5	1	0	3	1	0	5
other---pt interaction	98	61	57	23	3	2	4	2	2	3	2	1	15
other---shop	119	20	8	11	8	7	3	0	0	0	2	1	5
other---work	215	48	3	14	31	14	7	2	1	0	0	0	12
pt interaction---education	71	60	13	20	1	0	0	0	0	0	0	0	25
pt interaction---home	552	353	203	64	0	0	3	2	1	4	0	1	9
pt interaction---leisure	76	51	40	18	3	7	4	3	2	1	0	1	18
pt interaction---other	113	57	62	22	2	3	3	2	2	5	0	3	20
pt interaction---pt interaction	1625	640	799	703	576	453	369	298	222	152	113	72	156
pt interaction---shop	121	48	48	26	2	5	0	3	4	3	1	1	12
pt interaction---work	318	202	105	57	3	3	1	1	0	1	2	0	10
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	793	173	71	63	87	47	17	15	5	8	5	4	28
shop---leisure	78	17	3	6	0	3	1	0	1	0	0	2	4
shop---other	55	11	7	11	3	7	2	2	1	1	1	1	5
shop---pt interaction	95	60	45	26	1	5	0	3	3	4	1	1	14
shop---shop	313	40	11	25	16	11	5	4	2	1	1	0	11
shop---work	55	10	1	1	4	4	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	692	488	222	75	90	99	41	25	28	14	8	8	40
work---leisure	101	35	17	10	9	6	9	3	1	2	0	1	6
work---other	111	91	46	19	17	23	9	4	9	0	1	1	8
work---pt interaction	304	184	120	76	1	3	0	1	0	1	1	0	7
work---shop	96	55	30	6	10	12	5	4	0	0	1	0	10
work---work	123	31	6	6	9	3	1	1	1	0	0	1	7

average trip duration: 867.210097661177 seconds = 00:14:27
