pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	417	191	107	68	73	30	18	13	13	3	1	3	67
education---leisure	15	2	2	3	4	1	0	1	0	0	0	0	8
education---other	40	0	3	3	3	4	0	1	1	0	0	1	2
education---pt interaction	74	48	29	3	4	0	0	0	0	0	0	0	8
education---shop	20	5	1	1	0	2	0	0	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	495	203	88	63	78	39	19	13	9	8	2	3	59
home---home	10	0	0	0	0	0	0	0	0	0	0	0	0
home---leisure	490	120	17	33	61	61	28	13	12	6	4	1	40
home---other	614	238	47	60	55	65	40	11	5	2	3	2	41
home---pt interaction	535	407	209	78	0	0	3	2	1	3	0	1	12
home---shop	543	217	46	52	55	52	27	13	9	8	5	4	21
home---work	1097	461	36	79	125	105	28	26	16	9	4	5	47
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	0
leisure---home	581	87	27	35	114	53	8	17	10	3	3	0	53
leisure---leisure	92	21	1	8	4	6	1	1	0	0	0	0	3
leisure---other	84	10	3	8	3	3	0	0	0	0	1	2	2
leisure---pt interaction	66	49	33	16	2	6	3	3	1	1	0	0	19
leisure---shop	77	17	5	12	5	4	0	0	0	0	1	2	7
leisure---work	72	17	5	7	12	7	2	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	593	164	81	63	81	50	22	21	8	2	1	2	48
other---leisure	86	11	1	5	3	4	2	1	0	0	0	1	6
other---other	149	48	8	12	16	16	5	1	0	2	1	0	5
other---pt interaction	98	62	57	23	3	2	4	2	2	3	1	1	15
other---shop	121	21	7	10	8	7	3	0	0	0	2	1	4
other---work	215	51	1	15	30	14	8	2	1	0	0	0	12
pt interaction---education	69	59	13	16	1	0	0	0	0	0	0	0	25
pt interaction---home	540	353	202	61	0	0	3	2	1	3	0	1	10
pt interaction---leisure	75	49	39	17	2	7	4	3	2	1	0	1	17
pt interaction---other	111	57	61	21	2	3	3	2	2	5	0	3	20
pt interaction---pt interaction	1581	639	776	693	570	448	364	294	217	149	111	67	157
pt interaction---shop	118	43	48	25	2	4	0	2	4	3	1	1	12
pt interaction---work	322	200	105	55	3	4	1	1	0	1	2	0	10
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	786	185	68	62	87	48	17	15	6	8	5	4	27
shop---leisure	79	19	2	5	0	3	1	0	1	0	0	2	4
shop---other	53	12	7	10	3	7	2	2	1	1	1	1	5
shop---pt interaction	95	60	45	26	1	4	0	3	2	4	1	1	14
shop---shop	314	39	11	25	16	11	5	5	1	1	1	0	11
shop---work	55	10	1	1	3	5	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	690	502	209	78	93	98	42	26	26	13	8	8	44
work---leisure	103	35	15	11	9	5	8	3	1	2	0	1	6
work---other	112	90	46	19	17	21	11	4	10	0	0	2	7
work---pt interaction	303	186	119	74	1	4	0	1	0	1	1	0	7
work---shop	94	59	26	7	6	13	6	4	0	0	1	0	11
work---work	122	31	5	6	8	3	1	1	1	0	0	1	7

average trip duration: 872.8248214868245 seconds = 00:14:32
