pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	284	225	132	80	63	28	23	7	16	5	1	3	89
education---leisure	7	0	3	3	3	3	0	1	0	0	0	0	9
education---other	23	3	4	5	2	1	1	2	0	0	1	1	6
education---pt interaction	110	70	38	7	6	0	0	0	0	0	0	0	5
education---shop	10	6	2	1	1	1	1	1	0	2	0	0	0
education---work	5	0	1	2	0	2	0	1	0	0	0	0	0
home---education	332	258	120	66	84	33	20	11	11	5	2	3	71
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	410	164	23	28	39	53	42	23	17	10	4	3	35
home---other	580	273	48	63	34	77	42	21	8	6	3	2	37
home---pt interaction	572	368	203	76	3	2	4	2	2	1	0	3	18
home---shop	498	255	55	54	42	56	35	17	7	9	3	3	20
home---work	1121	527	33	81	104	89	43	18	16	11	5	5	65
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	514	102	39	41	92	67	12	23	9	5	5	1	56
leisure---leisure	79	27	3	4	1	9	1	1	1	0	0	0	5
leisure---other	73	18	2	10	1	7	0	0	0	0	1	2	3
leisure---pt interaction	80	57	37	19	4	4	5	2	1	2	2	1	19
leisure---shop	66	20	7	15	4	3	2	0	0	0	1	1	6
leisure---work	64	21	4	5	13	8	1	0	2	2	0	0	5
other---education	11	1	0	1	3	0	0	2	0	0	0	0	1
other---home	557	206	83	62	79	53	20	22	13	7	2	4	51
other---leisure	75	19	2	7	3	8	2	2	0	0	0	1	6
other---other	143	49	7	12	15	17	4	3	2	0	3	0	6
other---pt interaction	89	56	52	24	1	3	1	2	3	2	1	1	12
other---shop	122	27	6	13	5	8	2	0	0	0	1	1	4
other---work	228	44	1	14	32	14	8	2	1	0	0	0	8
pt interaction---education	97	84	24	18	2	0	0	0	0	0	0	0	23
pt interaction---home	536	337	205	62	0	3	3	3	1	1	0	1	16
pt interaction---leisure	105	61	36	19	2	5	4	3	2	2	2	1	19
pt interaction---other	105	63	48	15	3	7	0	1	3	4	0	1	16
pt interaction---pt interaction	1469	676	716	652	503	401	329	246	196	137	105	63	141
pt interaction---shop	114	47	38	27	1	2	1	1	4	1	1	0	14
pt interaction---work	289	173	99	41	2	3	0	1	0	0	2	1	7
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	746	204	87	65	79	64	20	13	9	7	6	3	23
shop---leisure	70	19	6	3	2	3	1	1	0	1	0	0	4
shop---other	55	19	9	9	5	3	0	3	1	1	1	0	5
shop---pt interaction	96	58	37	19	0	3	1	2	2	2	1	0	15
shop---shop	317	49	14	19	16	12	5	4	2	0	1	1	8
shop---work	54	9	3	1	4	5	0	0	2	0	1	1	5
work---education	4	2	2	0	1	2	0	0	0	0	0	0	0
work---home	644	571	233	82	74	85	41	31	22	14	11	8	71
work---leisure	92	43	15	11	9	5	9	1	4	2	0	1	8
work---other	120	101	44	18	15	20	11	10	8	2	1	2	6
work---pt interaction	280	158	111	57	0	3	0	0	0	0	2	0	6
work---shop	95	60	29	9	8	11	9	1	1	0	0	0	10
work---work	125	31	5	6	9	2	2	1	2	0	1	1	6

average trip duration: 920.907268170426 seconds = 00:15:20
