pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	278	235	133	80	64	31	19	9	15	4	1	3	83
education---leisure	7	0	3	3	4	2	0	1	0	0	0	0	9
education---other	20	3	4	5	3	2	1	2	0	0	1	1	5
education---pt interaction	111	71	37	7	4	0	0	0	0	0	0	0	6
education---shop	11	6	3	1	0	2	1	1	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	330	268	125	64	84	33	21	11	12	4	2	3	66
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	405	157	26	29	40	56	37	22	17	10	4	4	37
home---other	567	264	56	61	42	78	41	14	9	7	2	2	39
home---pt interaction	599	388	219	83	2	2	4	2	2	1	0	3	20
home---shop	499	246	60	54	39	52	32	17	7	9	1	4	25
home---work	1073	546	36	79	99	89	37	18	15	9	5	5	58
leisure---education	5	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	507	101	42	38	94	61	15	21	8	5	5	2	63
leisure---leisure	78	25	4	4	1	8	2	1	1	0	1	0	5
leisure---other	73	16	2	9	1	7	0	0	0	0	1	2	3
leisure---pt interaction	80	59	38	19	4	4	5	3	1	2	2	1	22
leisure---shop	65	20	7	14	5	3	2	0	0	0	1	1	7
leisure---work	66	22	3	5	10	10	2	0	2	2	0	0	5
other---education	11	1	0	1	3	0	1	2	0	0	0	0	1
other---home	550	183	97	64	87	47	19	21	11	7	1	5	51
other---leisure	74	18	3	6	2	10	3	1	0	0	0	1	6
other---other	136	53	7	12	15	18	3	4	1	1	2	0	6
other---pt interaction	103	61	57	24	1	2	2	2	3	2	1	1	14
other---shop	115	24	7	15	6	7	2	0	0	0	1	1	5
other---work	211	58	1	14	32	14	8	2	2	0	0	0	8
pt interaction---education	95	81	21	18	1	0	0	0	0	0	0	0	23
pt interaction---home	573	360	216	66	0	3	3	3	1	1	0	1	18
pt interaction---leisure	106	64	35	19	2	5	4	4	2	2	2	1	21
pt interaction---other	120	66	55	18	3	6	1	2	3	4	0	1	17
pt interaction---pt interaction	1563	714	746	688	548	430	347	273	207	150	109	67	145
pt interaction---shop	120	47	46	28	2	3	1	1	4	1	1	1	15
pt interaction---work	312	187	105	47	2	4	0	1	0	0	2	1	8
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	748	184	95	64	76	59	23	10	8	8	3	5	29
shop---leisure	69	18	6	4	2	4	0	1	0	1	0	1	4
shop---other	54	16	8	11	5	4	0	2	0	1	1	0	6
shop---pt interaction	102	60	42	21	1	4	1	2	2	2	1	1	16
shop---shop	313	47	15	20	14	13	5	4	1	1	1	1	12
shop---work	55	8	3	1	3	5	0	1	1	1	0	1	5
work---education	4	3	2	0	1	2	0	0	0	0	0	0	0
work---home	651	493	276	87	73	74	45	28	19	17	10	9	63
work---leisure	92	47	16	10	9	7	7	1	4	2	0	1	8
work---other	123	76	60	21	14	24	6	10	9	0	1	2	5
work---pt interaction	298	170	125	62	0	4	0	0	0	0	2	0	6
work---shop	96	53	27	11	8	11	11	1	0	0	0	0	10
work---work	123	31	5	6	10	2	2	1	2	0	0	1	6

average trip duration: 922.3130265013197 seconds = 00:15:22
