pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	231	259	142	80	69	30	23	13	13	5	2	3	77
education---leisure	7	1	4	3	5	1	0	1	0	0	0	0	7
education---other	17	3	3	5	2	4	1	2	0	0	1	1	4
education---pt interaction	121	72	39	8	3	0	0	0	0	0	0	0	6
education---shop	11	5	3	1	0	2	0	1	0	2	0	1	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	303	283	125	73	83	38	19	12	13	4	3	3	59
home---home	10	0	0	0	0	0	0	0	0	0	0	0	0
home---leisure	388	156	16	30	35	55	31	24	16	9	4	3	44
home---other	570	248	43	61	43	71	44	11	6	5	2	3	46
home---pt interaction	660	443	248	88	1	1	4	1	2	2	0	2	18
home---shop	490	245	50	55	39	51	31	14	8	8	2	4	26
home---work	1091	481	32	78	106	93	28	22	20	7	5	5	46
leisure---education	3	0	1	2	1	0	0	0	0	0	0	0	1
leisure---home	479	107	32	36	87	58	14	18	11	7	4	2	67
leisure---leisure	76	27	2	5	2	8	2	1	1	0	1	0	5
leisure---other	70	16	3	9	1	7	0	0	0	0	1	2	3
leisure---pt interaction	91	69	47	24	6	6	5	3	1	3	2	1	26
leisure---shop	69	20	4	13	5	4	1	0	0	0	1	1	7
leisure---work	69	20	4	6	11	9	1	0	1	2	0	0	4
other---education	9	1	0	1	3	0	1	2	0	0	1	0	1
other---home	532	194	78	62	80	47	19	22	8	6	2	5	55
other---leisure	74	14	3	4	2	9	3	1	0	0	0	1	9
other---other	139	47	7	11	17	15	4	2	1	1	2	0	8
other---pt interaction	121	77	65	28	2	2	3	2	3	3	1	1	16
other---shop	111	24	7	12	7	7	1	0	1	0	2	1	5
other---work	221	43	1	14	29	17	7	2	2	0	0	0	9
pt interaction---education	96	84	21	19	1	0	0	0	0	0	0	0	23
pt interaction---home	660	407	246	72	0	1	3	2	1	2	0	1	17
pt interaction---leisure	121	70	47	20	4	8	7	4	2	2	2	1	25
pt interaction---other	139	72	72	24	3	6	2	2	3	5	0	2	20
pt interaction---pt interaction	1790	804	887	793	626	483	387	305	226	152	117	79	161
pt interaction---shop	144	52	52	33	1	4	1	2	4	2	1	1	17
pt interaction---work	336	206	116	53	3	4	1	0	0	0	2	0	9
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	725	205	72	58	73	54	19	14	7	6	6	5	30
shop---leisure	69	18	5	4	2	4	0	0	0	1	0	2	4
shop---other	51	17	6	10	3	4	1	2	0	1	0	1	6
shop---pt interaction	128	74	47	30	1	4	2	2	2	3	1	1	18
shop---shop	302	47	11	20	16	13	5	3	1	3	1	1	13
shop---work	54	9	2	1	3	5	0	1	1	1	0	1	5
work---education	5	3	2	0	1	2	0	0	0	0	0	0	0
work---home	627	545	220	76	76	81	42	29	23	14	8	9	50
work---leisure	92	47	12	9	10	6	7	2	3	3	0	1	7
work---other	121	92	43	17	16	18	8	7	11	0	0	2	6
work---pt interaction	331	185	130	70	0	4	0	1	0	0	2	0	6
work---shop	96	58	25	5	8	15	4	2	1	0	1	0	10
work---work	129	25	5	6	10	3	1	2	1	0	0	1	6

average trip duration: 918.9541958284249 seconds = 00:15:18
