pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	269	240	135	80	66	29	20	9	16	3	2	3	77
education---leisure	7	0	3	3	4	2	0	1	0	0	0	0	9
education---other	20	3	4	5	3	2	1	2	0	0	1	1	5
education---pt interaction	115	72	38	8	4	0	0	0	0	0	0	0	6
education---shop	11	7	2	1	0	2	0	1	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	322	271	126	64	87	33	21	12	10	6	3	3	63
home---home	8	2	0	0	0	0	0	0	0	0	0	0	0
home---leisure	399	159	24	29	40	55	37	22	17	7	5	3	39
home---other	558	275	46	61	42	77	40	15	8	6	2	2	41
home---pt interaction	611	408	219	86	1	1	4	2	2	1	0	3	19
home---shop	491	258	52	52	39	53	31	14	7	9	1	4	25
home---work	1065	548	39	79	100	89	34	20	15	8	5	5	57
leisure---education	4	0	0	1	1	0	0	0	0	0	0	0	1
leisure---home	499	110	33	38	92	61	14	21	9	5	4	2	65
leisure---leisure	78	25	4	4	1	8	2	1	1	0	1	0	5
leisure---other	73	16	2	9	1	7	0	0	0	0	1	2	3
leisure---pt interaction	84	60	40	21	4	4	5	3	1	2	2	1	23
leisure---shop	66	20	5	14	5	4	1	0	0	0	1	1	7
leisure---work	66	23	4	6	10	11	1	0	1	2	0	0	4
other---education	10	1	0	1	3	0	1	2	0	0	1	0	1
other---home	543	204	81	61	85	47	20	21	9	5	2	5	54
other---leisure	75	17	2	6	2	9	3	1	0	0	0	1	7
other---other	134	55	8	10	17	16	3	4	1	1	2	0	7
other---pt interaction	107	62	59	24	1	2	2	2	3	2	1	1	15
other---shop	113	27	6	13	6	8	1	0	0	0	2	1	5
other---work	208	60	1	14	32	13	8	2	2	0	0	0	9
pt interaction---education	98	81	22	18	1	0	0	0	0	0	0	0	22
pt interaction---home	590	371	223	69	0	2	3	3	1	1	0	1	18
pt interaction---leisure	110	66	36	20	2	5	4	4	2	2	2	1	22
pt interaction---other	124	68	59	19	3	6	1	2	3	4	0	2	18
pt interaction---pt interaction	1616	739	785	712	571	438	358	275	209	149	113	69	139
pt interaction---shop	129	49	48	32	2	4	1	1	4	1	1	1	15
pt interaction---work	314	188	105	50	2	4	0	0	0	0	2	1	8
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	739	206	79	59	79	54	22	11	7	8	3	5	29
shop---leisure	69	19	6	4	2	4	0	0	0	1	0	1	4
shop---other	52	16	7	11	4	5	0	2	0	2	0	2	5
shop---pt interaction	110	66	44	25	1	4	1	2	2	2	1	1	16
shop---shop	310	46	12	19	15	12	5	4	1	1	1	1	13
shop---work	56	8	2	1	3	5	0	1	1	1	0	1	5
work---education	5	2	2	0	1	2	0	0	0	0	0	0	0
work---home	647	535	245	82	70	81	43	27	18	13	10	9	59
work---leisure	92	48	16	9	9	7	7	1	4	2	0	1	8
work---other	122	88	55	14	16	19	6	11	8	1	0	2	6
work---pt interaction	299	174	124	66	0	4	0	0	0	0	2	0	6
work---shop	94	60	27	7	7	13	10	1	0	0	0	0	10
work---work	123	31	5	6	10	3	1	1	2	0	0	1	6

average trip duration: 917.430750501289 seconds = 00:15:17
