pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	418	192	106	71	69	33	18	12	14	3	1	3	65
education---leisure	15	2	2	4	4	1	0	1	0	0	0	0	8
education---other	40	0	3	3	3	4	0	1	1	0	0	1	2
education---pt interaction	74	49	27	3	4	0	0	0	0	0	0	0	8
education---shop	20	4	1	1	0	2	0	0	0	2	0	0	0
education---work	5	1	1	2	0	2	0	1	0	0	0	0	0
home---education	495	205	87	61	76	41	17	10	9	8	2	3	58
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	493	116	18	33	60	61	27	13	12	6	4	1	39
home---other	614	234	48	60	55	65	39	12	5	3	2	2	43
home---pt interaction	543	419	209	79	0	0	3	2	1	4	0	1	11
home---shop	547	212	45	53	54	51	26	12	9	8	4	4	20
home---work	1097	461	35	80	128	104	30	23	15	9	5	4	44
leisure---education	5	0	0	2	1	0	0	0	0	0	0	0	0
leisure---home	577	84	29	36	114	54	6	18	9	4	2	0	52
leisure---leisure	92	21	1	8	5	6	1	1	0	0	0	0	3
leisure---other	84	10	3	8	3	3	0	0	0	0	1	2	2
leisure---pt interaction	65	51	35	17	2	6	3	3	1	1	0	0	19
leisure---shop	77	17	5	13	5	4	0	0	0	0	1	1	7
leisure---work	72	17	5	7	12	7	2	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	593	154	93	64	83	48	23	21	7	3	1	3	49
other---leisure	86	11	1	5	3	5	0	2	0	0	0	1	6
other---other	151	44	9	12	15	17	5	1	0	3	1	0	5
other---pt interaction	98	61	55	23	3	2	4	2	2	3	2	1	15
other---shop	120	20	8	10	8	7	3	0	0	0	2	1	5
other---work	215	48	3	14	29	15	8	2	1	0	0	0	12
pt interaction---education	71	61	13	18	1	0	0	0	0	0	0	0	25
pt interaction---home	548	355	202	62	0	0	3	2	1	4	0	1	10
pt interaction---leisure	74	51	39	17	2	7	4	3	2	1	0	1	17
pt interaction---other	111	58	60	22	2	3	3	2	2	5	0	3	20
pt interaction---pt interaction	1615	639	787	700	578	454	367	298	221	152	112	71	155
pt interaction---shop	119	47	48	26	2	5	0	3	4	3	1	1	12
pt interaction---work	317	204	107	57	3	4	1	1	0	1	2	0	10
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	792	175	72	62	87	47	17	15	5	8	5	4	26
shop---leisure	78	17	3	6	0	3	1	0	1	0	0	2	4
shop---other	55	12	7	10	3	7	2	2	1	1	1	1	5
shop---pt interaction	97	59	45	26	1	5	0	3	3	4	1	1	14
shop---shop	313	40	11	25	16	11	5	4	2	1	1	0	11
shop---work	55	10	1	1	4	4	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	693	486	221	73	95	96	44	23	28	13	8	8	40
work---leisure	101	35	17	10	9	6	9	3	1	2	0	1	6
work---other	111	91	46	19	17	23	9	4	9	0	1	1	8
work---pt interaction	305	186	120	76	1	4	0	1	0	1	1	0	7
work---shop	96	55	30	6	8	13	5	4	0	0	1	0	10
work---work	121	31	6	6	9	3	1	1	1	0	0	1	7

average trip duration: 867.411333694279 seconds = 00:14:27
