pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	419	192	105	72	67	32	18	12	13	3	1	3	65
education---leisure	15	2	2	4	3	1	0	1	0	0	0	0	8
education---other	40	0	3	3	4	3	0	1	1	0	0	1	2
education---pt interaction	78	51	25	3	4	0	0	0	0	0	0	0	8
education---shop	20	4	1	1	0	2	0	0	0	2	0	0	0
education---work	5	2	0	2	0	2	0	1	0	0	0	0	0
home---education	499	201	87	62	76	38	18	8	9	8	2	3	58
home---home	9	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	498	111	18	32	59	61	29	8	13	7	3	1	41
home---other	614	230	48	63	53	64	38	12	5	3	2	2	43
home---pt interaction	552	424	210	79	0	0	3	2	1	4	0	1	10
home---shop	548	212	42	52	54	52	23	13	9	8	4	4	21
home---work	1103	457	33	81	129	103	27	24	16	9	5	4	44
leisure---education	5	0	0	2	1	0	0	0	0	0	0	0	0
leisure---home	577	84	30	37	113	54	5	18	10	3	2	0	52
leisure---leisure	92	21	1	8	5	5	1	1	0	0	0	0	3
leisure---other	83	10	4	8	3	3	0	0	0	0	1	2	2
leisure---pt interaction	62	51	36	18	3	6	3	3	1	1	0	0	20
leisure---shop	76	17	5	13	5	4	1	0	0	0	1	1	7
leisure---work	71	17	5	7	12	8	1	0	0	2	0	0	4
other---education	17	1	0	1	1	0	1	0	0	0	0	0	1
other---home	596	149	92	67	81	50	21	22	7	3	1	3	49
other---leisure	85	11	1	5	3	4	1	1	0	0	0	1	6
other---other	153	42	9	12	15	16	5	1	0	3	1	0	5
other---pt interaction	99	62	57	23	3	3	4	2	2	3	2	1	15
other---shop	119	20	8	11	8	7	2	0	0	0	2	1	5
other---work	215	48	3	14	29	16	7	2	1	0	0	0	12
pt interaction---education	72	61	13	20	1	0	0	0	0	0	0	0	25
pt interaction---home	551	354	205	64	0	0	3	2	1	4	0	1	9
pt interaction---leisure	76	51	39	18	3	7	4	3	2	1	0	1	18
pt interaction---other	114	57	63	22	2	4	3	2	2	5	0	3	20
pt interaction---pt interaction	1627	643	801	704	578	452	374	299	222	153	113	72	158
pt interaction---shop	121	48	49	26	2	5	0	3	4	3	1	1	12
pt interaction---work	322	202	105	56	3	3	1	1	0	1	2	0	11
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	793	173	71	64	88	46	17	15	5	8	5	4	28
shop---leisure	78	17	3	6	0	3	1	0	1	0	0	2	4
shop---other	55	11	7	11	3	7	1	3	1	1	1	1	5
shop---pt interaction	95	60	45	26	1	5	0	3	3	4	1	1	14
shop---shop	313	40	10	25	16	11	5	4	2	1	1	0	11
shop---work	55	10	1	1	4	4	0	1	1	1	0	1	5
work---education	5	3	2	0	1	1	0	0	0	0	0	0	0
work---home	691	488	221	75	91	100	40	24	28	14	7	9	39
work---leisure	101	35	17	10	9	6	9	4	1	2	0	1	6
work---other	111	91	46	19	17	22	10	4	9	0	1	1	8
work---pt interaction	306	184	120	75	1	3	0	1	0	1	1	0	8
work---shop	97	54	30	6	10	12	5	3	1	0	1	0	10
work---work	123	31	6	6	9	3	1	1	1	0	0	1	7

average trip duration: 868.6164812614753 seconds = 00:14:28
